UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
1eb99ca0-cfeb-4064-864e-7d964541eb45	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	auf	true	עַל					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		auf		2024-12-13T04:00:20,153	294	0	false
f1afb33d-23a1-49d2-b0d9-3d3a0fe30baa	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	als ob	false		כאילו	כְּאִלּוּ			BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		ob,als ob,als		2024-12-13T04:00:20,153	484	0	false
a67231a3-acf8-42c2-8518-f607cf002c9d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	acht	true	שְׁמוֹנֶה					ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Acht,8		2024-12-13T04:47:58,025	375	0	true
df81a101-616d-48e8-b852-b6b086a8a6cb	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	angenehm, bequem	true	נוֹחַ					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		bequem,angenehm		2024-12-13T05:22:48,919	535	0	true
42c955e5-3cb3-49ca-99b5-478ed7e9024b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 28 - Ausflug	ankommen, erreichen	true	נגע					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	ROOT		erreichen,ankommen	נגע	2024-12-13T05:40:32,498	534	0	true
d939d251-7ca3-46dd-a652-8313d3938e13	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	anscheinend	true	כַּנִרְאֶה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		anscheinend		2024-12-13T04:00:20,153	205	0	false
2b0c43a6-d5d3-4f66-962f-e8480a80df14	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	achtzig	true	שְׁמוֹנִים					ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		80,Achtzig		2024-12-13T04:48:05,888	376	0	true
17af3351-0984-48bf-9eeb-4858445bf563	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	außerdem	true	חוּץ מִזֶּה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		außerdem		2024-12-13T04:00:20,153	458	0	false
56fc029a-7997-4e3c-ad86-947d59f081a5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	alle, alles, ganz	false		כול	כֹּל			SUBSTANTIV	BOTH_FEMALE_MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	alleinstehend: plene Schreibweise	alles,ganz,alle		2024-12-13T04:00:20,153	194	0	false
aa7fed00-9457-40a9-9a23-676312058ebd	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Abend	true	עֶרֶב					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Abend		2024-12-13T04:00:20,153	301	0	false
c2046652-5246-4151-88da-8ca72f950e2d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 28 - Ausflug	Ausflug machen, spazieren gehen	true	טיל					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		Ausflug,Ausflug machen,spazieren,spazieren gehen	טיל	2024-12-13T05:39:01,089	469	0	true
cf5abb66-254e-46e7-a1b1-c8032ec36a46	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	aufsteigen, kosten (Geld), einwandern (Israel)	true	לַעֲלוֹת					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		einwandern,kosten,aufsteigen	עלה	2024-12-13T04:00:20,153	295	0	false
3ef7bb21-59aa-432e-9c44-11acdf77bf74	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	Atmosphäre, Stimmung	false		אווירה	אֲוִירָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stimmung,Atmosphäre		2024-12-13T04:00:20,153	406	0	false
