UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
9f6b6400-e0c7-46fc-a9d0-6da76568c45b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	denken	true	לַחְשׁוֹב					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		denken	חשׁב	2024-12-13T04:00:20,164	163	0	false
d77fd3fb-2d2a-4604-a477-17254e5e4ad0	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	dass, weil, denn	true	שֶׁ					RELATIVPRONOM	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...שֶׁ	dass,weil,denn		2024-12-13T04:00:20,164	353	0	false
7bb44663-b1fe-461e-9de8-e0c3fa9cf519	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	dreißig	true	שְׁלוֹשִׁים					ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Dreißig,30		2024-12-13T04:47:42,292	368	0	true
c46862c0-4986-4d74-817b-b261227fb293	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	der, die, das	true	הַ					ARTIKEL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...הַ	der,die,das		2024-12-13T04:00:20,164	123	0	false
0e0e4dee-ac6f-4d6f-a920-8743ab0d0dbd	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	dort	true	שָׁם					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		dort		2024-12-13T04:00:20,164	372	0	false
fbc10985-ce7f-40a0-9f30-db6d9e817418	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	du	true	אַתָּה					PERSONALPRONOM	MALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA		du		2024-12-13T04:26:08,878	66	0	true
6c0b1372-0351-47c1-80b1-25f022059fa1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	drängeln, stoßen	true	דחף					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		drängeln,stoßen	דחף	2024-12-13T05:37:30,902	439	0	true
2c01458f-e93f-4dd4-ac68-fc9df078b62c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 10 - Pause	danke	true	תּוֹדָה					AUSRUF	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		danke		2024-12-13T04:00:20,164	391	0	false
0fd0d25d-f3cd-4c37-8a18-dbc2d721000b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	du	true	אַתְּ					PERSONALPRONOM	FEMALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA		du		2024-12-13T04:25:58,556	65	0	true
fb74be60-226c-4ee3-a739-81a12be4e9f5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	Dichter	true	מְשׁוֹרֵר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Dichter		2024-12-13T04:00:20,164	531	0	false
