UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
f8625970-f6b8-4fc0-aed3-01f9b6623d2e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 05	Ei	true	בֵּיצָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ei		2021-07-03T15:27:56.068257100	80
f1c4ffe0-8021-4af3-b8c4-87703df6eef0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 15	ein wenig, etwas	true	קְצָת			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		ein wenig,etwas		2021-07-05T04:56:46.411027500	328
b6c3650b-6d10-4285-89ac-ec7b6a075b04	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 08	es gibt nicht	true	אֵין			PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		geben,nicht,nicht geben		2021-07-04T12:41:16.329973	35
17f0d8c0-856e-47ed-87ba-0fe5b33d5216	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 05	Eier	true	בֵּיצִים			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Eier,Ei		2021-07-03T15:28:31.862058600	81
bd769c98-0dc6-475c-8726-8aeebfa4a9cd	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 08	etwas	true	מַשֶּׁהוּ			PRONOM	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		etwas		2021-07-04T19:18:33.188455800	266
0ab629bc-8643-4fd7-ae90-d25e24c88a79	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 13	einladen, bestellen	true	לְהַזְמִין			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	INFINITIVE		bestellen,einladen	זמן	2021-07-04T12:44:02.665204600	141
5988b036-d789-491b-a8ca-d799d211c7f4	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 04	er, jener	true	הוּא			PERSONALPRONOM	MALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA		jener,er		2021-07-03T17:02:57.298336100	126
1f47a287-3e6b-4713-90a8-d6fbda488544	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 05	essen	true	לֶאֱכוֹל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		essen	אכל	2021-07-04T12:41:29.885962	39
152e4c7b-1766-4603-9c69-8ea325563df1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 09	Englisch, Anglistik	true	אַנְגְלִית			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Anglistik,Englisch		2021-07-03T14:36:50.999889300	49
8b4f7be7-36b0-4209-b76b-45e3b409c816	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 12	erster	true	רִאשׁוֹן			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		erster		2021-07-05T05:08:01.876162300	333
7de68f25-3173-4ce3-94b3-fda780798482	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 15	Essen	false		אוכל	אֹכֶל	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Essen		2021-07-03T14:52:43.967173	40
