UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
0f9798a0-fb35-4173-8bb7-bca05dce1fe6	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 07	Freund	true	חָבֵר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Freund		2021-07-03T17:29:32.900370700	144
5a3f400d-3dcb-463c-b483-6cf6d53b88d3	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 04	Fenster	true	חַלּוֹנוֹת			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fenster		2021-07-03T17:47:36.012297600	154
581f3c3b-9aa9-48d9-b5a5-eabaca045b21	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 02	Frauen	true	נָשִׁים			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Frau		2021-07-02T23:51:37.695324	63
f225d1ac-a163-48c5-a2f4-7fc2a1912ef9	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 12	fast, beinahe	true	כִּמְעָט			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		beinahe,fast		2021-07-04T05:25:28.378777800	201
6f31468e-34b7-450c-b84a-9b684d88422a	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 18	froh sein	true	לִשְׂמוֹחַ			VERB	PLEASE_CHOOSE	PLEASE_CHOOSE	PLEASE_CHOOSE	PAAL	INFINITIVE		froh,bin froh,froh sein	שׂמח	2021-07-05T16:27:02.841229700	377
89fc07dc-f071-4887-b3b8-3eb2ab16fc41	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 12	Fünf	true	חָמֵשׁ			ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fünf		2021-07-04T01:42:18.733780600	157
50659df5-0244-4803-a159-72a4e6d43e5b	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 07	Fahrrad	false		אופניים	אוֹפַנַּיִם	SUBSTANTIV	MALE	DUAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fahrrad		2021-07-03T08:13:23.936095600	19
f898bd10-ae06-447f-bbdb-41a083d5ca9b	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 04	Familie	true	מִשְׁפָּחָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Familie		2021-07-04T19:20:27.749277600	267
62307f28-977d-45ed-9744-5cc4e02510e6	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 19	froh	true	שָׂמֵחַ			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		froh		2021-07-05T16:28:18.206640100	378
f2df541c-f4b0-4f0d-a735-47f09058ad38	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 06	Frühstück	false		ארוחת בוקר	אֲרוּחַת בֹּקֶר	SUBSTANTIV	GENDER_UNKNOWN	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Frühstück		2021-07-03T14:29:24.120608100	60
55cb7506-6fc7-4d21-802c-b541c001067b	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 15	Fisch	true	דָּג			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fisch		2021-07-03T16:52:42.302483100	117
1c6f3fde-b172-456e-a760-2735ae7e8030	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 16	Fernsehen	true	טֶלֶוִיזְיָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fernsehen		2021-07-04T01:40:29.416492800	168
fef4fd99-8e29-4371-9de9-bfcb85a9b7af	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 14	für	true	בִּשְׁבִיל			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		für		2021-07-03T16:23:36.138755600	101
bb7bf09d-f2b9-48b2-8018-e7cb7f6bbb34	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 14	fragen	true	לִשְׁאוֹל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		fragen	שׁאל	2021-07-05T15:47:42.369000200	354
