UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
7b069edb-0fd5-4422-b33d-0c62eec2ffa7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 30 - Impfung	geimpft werden	true	חסן					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	ROOT		geimpft werden,geimpft	חסן	2024-12-13T05:38:44,953	465	0	true
a2819c62-3017-48a1-b561-5d1532daf4eb	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	Geld	true	כֶּסֶף					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Geld		2024-12-13T04:00:20,196	208	0	false
fb8d4a61-ba7b-4e86-82ba-baf096dfd3d8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	genießen	true	הנה					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	ROOT		genießen	הנה	2024-12-13T05:37:50,460	447	0	true
ace32ce3-f67a-4e1e-bac5-2cbd8902a7c9	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 10 - Pause	Gebäude, Bau	true	בִּנְיָן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gebäude,Bau		2024-12-13T04:00:20,180	93	0	false
9505f25b-acbf-4cef-87bf-d758cb79e5a4	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Gläser, Becher, Tassen	true	כוסות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gläser,Tassen,Tasse,Glas,Becher		2024-12-13T04:00:20,180	190	0	false
ea60cd6d-df6f-44f4-b74e-a5a61db4324a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	grün	true	יָרוֹק					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grün		2024-12-13T05:11:21,088	480	0	true
9bd33762-e8af-41c2-9703-7c4f53673c76	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	Gespräch, Unterhaltung	true	שִֹיחָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Unterhaltung,Gespräch		2024-12-13T04:00:20,180	362	0	false
b79858a2-4d7d-478d-a1cd-1b3482a45c02	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 24 - Richtung	geradeaus	true	יָשָׁר					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		geradeaus		2024-12-13T05:21:03,512	642	0	true
46c6600b-6b78-4e01-86f5-1ba8f3b93777	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	grau	true	אָפֹר					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grau		2024-12-13T05:12:16,458	635	0	true
14991da4-a69e-4f75-9805-a8b3c6d26c0f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	Grab	true	קֶבֶר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Grab		2024-12-13T04:00:20,180	580	0	false
2ed23c5d-4776-4806-b5c6-80107e2cdcfb	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Glas, Becher, Tasse	true	כּוֹס					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tasse,Glas,Becher		2024-12-13T04:00:20,180	189	0	false
08c9f766-cb2e-4bee-acc2-92c86733d55f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 10 - Pause	Glück	true	מַזָּל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Glück		2024-12-13T04:00:20,180	241	0	false
f0600e5e-13f0-4ca3-8bc9-24f659957487	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	gehen (zu Fuß)	true	לָלֶכֶת					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		zu Fuß,gehen,zu Fuß gehen	הלך	2024-12-13T04:00:20,180	132	0	false
12fbfbaa-215b-4a87-8926-b9a98e36777c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Gurke	true	מְלָפְפוֹן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gurke		2024-12-13T04:00:20,180	520	0	false
c6a76016-6d2f-4f80-8b27-989d990435c8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 12 - Besuch	Gast	true	אוֹרֵחַ					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gast		2024-12-13T04:00:20,180	20	0	false
42855782-b4c6-4700-8936-743b86050186	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	gelb	true	צָהֹב					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gelb		2024-12-13T05:11:57,895	633	0	true
0270c74e-738d-430c-b11c-c189eb1ed2d0	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Gewicht	true	מִשְׁקָל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gewicht		2024-12-13T04:00:20,180	532	0	false
d43f187a-c69c-495e-997b-5cd2e1367a1b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	geben	true	לָתֵת					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		geben	נתן	2024-12-13T04:00:20,180	273	0	false
5a907f7f-dfd1-4038-beed-8928a95bc192	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	geschrieben	true	כָּתוּב					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		geschrieben		2024-12-13T04:00:20,196	494	0	false
dcb4311b-0052-4230-86b4-06d3dddc4fde	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	grün	true	ירוּקּים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grün		2024-12-13T05:11:35,195	482	0	true
7ce93f1e-7a22-4e1f-96e1-af73505063a7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	gar nicht	true	לֹא ... בִּכְלָל					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gar nicht,gar,nicht		2024-12-13T04:00:20,180	495	0	false
d24ad6a6-effe-4d7a-b68e-d7c410925208	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	gut	true	הֵיטֵב					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gut		2024-12-13T05:21:31,248	445	0	true
6d604f23-853a-4e54-bd46-5680825b76b2	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	gestern	true	אֶתְמוֹל					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gestern		2024-12-13T04:00:20,180	68	0	false
a721794c-2ce7-4d5b-9035-f6cfd388bca0	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	Geduld	true	סַבְלָנוּת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Geduld		2024-12-13T04:00:20,180	543	0	false
801236ce-a730-4124-a555-be32dbd23648	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 12 - Besuch	Gästin	true	אוֹרַחַת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gästin,Gast		2024-12-13T04:00:20,180	21	0	false
ec27656e-2c35-41f3-bffc-d98f8319b7a8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	Gemüse	true	יְרָקוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gemüse		2024-12-13T04:00:20,180	183	0	false
05eb8a0f-d295-432a-9fcd-f1d9a1dfd7c2	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	groß	true	גָּדוֹל					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		groß		2024-12-13T04:15:26,803	107	0	true
b505dae7-e224-402d-81f2-dec1a53b8186	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 18 - Arbeit	Gesellschaft, Unternehmen	true	חֶבְרָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gesellschaft,Unternehmen		2024-12-13T04:00:20,180	455	0	false
05fae9b1-7c23-44f5-909a-b3852df844ef	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	gefunden werden, sich befinden, sich herausstellen als	true	מצא					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	ROOT		sich befinden,sich herausstellen als,befinden,herausstellen,sich herausstellen,gefunden,gefunden werden	מצא	2024-12-13T05:40:15,639	524	0	true
b1088a3e-1769-4cf4-a1e7-e368f34edffc	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	gut	true	טוֹב					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gut		2024-12-13T04:17:08,436	167	0	true
c55baa2c-4c36-4725-b46a-6c07b28b6826	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 20 - Sprachen	genug	true	מַסְפִּיק					AUSRUF,ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		genug		2024-12-13T04:00:20,180	255	0	false
7f9ac132-8caf-49e2-afbf-9ae8f949c951	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 33 - Erholung	Gebiet, Gegend	true	אֵזוֹר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gebiet,Gegend		2024-12-13T04:00:20,180	407	0	false
f9d991b0-39dc-42ee-8e0d-277826e58217	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 28 - Ausflug	grade, jetzt erst recht	false		דווקא	דַּוְקָא			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		erst,jetzt,grade,recht,jetzt erst recht		2024-12-13T04:00:20,180	438	0	false
f7d7bf2c-b67a-44e2-966c-420ef69d7f9c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	Gelegenheit	true	הִזְדַּמְנוּת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gelegenheit		2024-12-13T04:00:20,180	442	0	false
56cb1e39-1f6f-4ef5-b917-1a4ddbcd168c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	genau	true	בְּדִיּוּק					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		genau		2024-12-13T04:00:20,180	73	0	false
620092d1-a123-407f-9107-9deaffa7c541	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	grün	true	ירוּקּה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grün		2024-12-13T05:11:27,596	481	0	true
5be00b8f-9d5d-4a68-936d-a3d2fe00de6b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	guten Appetit	true	בְּתֵאָבוֹן					AUSRUF	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Appetit,guten Appetit		2024-12-13T04:00:20,180	105	0	false
7cc8976d-d916-4e7e-9d7a-11bf8625b18b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 10 - Pause	Garten	false		גינה	גִּנָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Garten		2024-12-13T04:00:20,180	113	0	false
ea85f536-cb8a-42d7-96b4-a227d3386eab	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	Geldautomat	true	כַּסְפּוֹמָט					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Geldautomat		2024-12-13T04:00:20,180	492	0	false
