UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
5272fbe7-205f-4ad1-b012-e8187c73d749	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	Hühner	true	תרנגולות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Huhn,Hühner		2024-12-13T04:00:20,196	630	0	false
e1af3278-2d61-4df4-9c53-7cb6be2354a6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	Hühner, Hähnchen	true	עוֹפוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Huhn,Hähnchen,Hühner		2024-12-13T04:00:20,196	288	0	false
da7915a5-6e87-4d6e-a0e4-2b3e32f6443a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 19 - Krankheit	hoffen	true	קוה					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		hoffen	קוה	2024-12-13T05:42:26,446	581	0	true
5d0a5dbd-f403-4aaa-88b6-4d9a85ed8f85	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	heute	true	הַיּוֹם					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		heute		2024-12-13T04:00:20,196	130	0	false
b07298d6-4fbe-41ab-aacb-8cafeada83b5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 15 - Kleidung	Hosen	false		מכנסיים	מִכְנָסַיִם			SUBSTANTIV	MALE	DUAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Hosen		2024-12-13T04:00:20,196	513	0	false
29daa271-a4a6-4d4f-8504-af0c7533cf4a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	Huhn, Hähnchen	true	עוֹף					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Huhn,Hähnchen		2024-12-13T04:00:20,196	287	0	false
f221f82a-c137-442c-a3ca-e9c872155d41	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	hier (ist), siehe da	true	הִנֵּה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		hier ist,siehe da,siehe,hier		2024-12-13T04:00:20,196	135	0	false
a7db4fdb-f815-4ec5-bbc8-8af7bf246280	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	hundert	true	מֵאָה					ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		100,hundert		2024-12-13T04:49:11,521	500	0	false
c242d169-c12b-42cf-b13a-a7361af9fe5f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	Haus, Wohnung	true	בַּיִת					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Haus,Wohnung		2024-12-13T04:00:20,196	83	0	false
300b000c-d629-42b2-a530-9a21672ce7ec	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	halb, Hälfte	true	חֵצִי					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	wenn vor Substantiv  חֲצִי	Hälfte,halb		2024-12-13T04:00:20,196	162	0	false
