UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
85960ddb-4295-474c-8d50-711f8a54cf9c	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 09	können, könnt	true	יְכוֹלִים			VERB	MALE	PLURAL	GRAMMATICALPERSON_NA	PAAL	PRESENT		können,könnt	יכל	2021-07-04T04:46:07.084888800	177
5b1dc0d1-495f-4bac-a4fa-5ba1f06c261d	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 04	Klassenzimmer, Schulklasse	false		כיתה	כִּתָּה	SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Klassenzimmer,Schulklasse		2021-07-04T05:40:46.692050600	212
3478a538-cac5-400e-9b66-763b0fbf714d	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 05	kaufen	true	לִקְנוֹת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		kaufen	קנה	2021-07-05T04:48:11.439743300	324
9714d5a2-bb6a-487b-bb43-8198859c7acd	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 12	klingeln, anrufen	true	לְצַלְצֵל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	INFINITIVE		anrufen,klingeln	צלצל	2021-07-05T04:22:50.617756600	313
4200b13b-8a53-4b9d-81cd-ab022fe07fe2	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 20	Kranker	true	חוֹלֶה			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kranker		2021-07-03T17:38:35.477597600	148
bc48872b-7c30-4f96-9460-777b3e55edc6	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 21	kurz	true	קָצָר			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		kurz		2021-07-05T04:55:20.753003300	327
db7e5653-3c3b-4313-b757-e2a9afeeac7c	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 09	kommen	true	לָבוֹא			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		kommen	בוא	2021-07-04T12:41:49.216435900	74
18a4b6f9-ff82-4013-b408-0b0d0ab3357f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 17	Karte, Eintrittskarte	true	כַּרְטִיס			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Eintrittskarte,Karte		2021-07-04T05:36:26.644946600	209
6cdde563-5737-454d-98dd-6ecf7f945b6b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 05	Kaffee	true	קָפֶה			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kaffee		2021-07-05T04:49:34.183929300	325
50b4660c-f3ef-4f18-8ec0-9e2c3b9548fa	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 05	Käse	true	גְּבִינָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Käse		2021-07-03T16:29:11.293536400	106
4cb48deb-b040-4dbe-bf9b-e66157a8a0fb	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 07	klein	true	קָטָן			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		klein		2021-07-05T04:43:20.809510600	321
495e6e9a-0a69-4241-9df9-e916b45b856e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 15	Kellner	true	מֶלְצָר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kellner		2021-07-04T17:07:33.032715300	251
f252cfc9-bf30-4c2f-bf4e-0d41a88a1264	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 13	Kuchen	true	עוּגָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kuchen		2021-07-04T19:59:56.777206500	285
ff743dc0-86ea-400c-acd0-a9921ae52572	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 09	kann, kannst	true	יְכוֹלָה			VERB	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	PAAL	PRESENT		können,kann,kannst	יכל	2021-07-04T04:46:32.144898200	176
d02f862e-16c5-4e0e-9fee-7fd52a25f653	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 10	König	true	מֶלֶךְ			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		König		2021-07-04T17:06:32.266787300	250
0b33cb4f-330a-4636-a7f8-4784b7444cca	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 14	kochen	true	לְבַשֵּׁל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	INFINITIVE			בשׁל	2021-07-04T12:42:35.526182	102
755068b2-222a-4aa7-b587-4cffb26e457b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 09	können, könnt	true	יְכוֹלוֹת			VERB	FEMALE	PLURAL	GRAMMATICALPERSON_NA	PAAL	PRESENT		können,könnt	יכל	2021-07-04T04:45:27.402008900	178
