UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
84b46b9c-4b1e-4620-b09d-b41aa3b2012c	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 06	lieben, mögen	true	לֶאֱהוֹב			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		lieben,mögen	אהב	2021-07-03T06:22:10.299856600	14
46e6fb8b-5bdc-43ae-ab5a-cb646643ab7e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 02	Leute, Männer	true	אֲנָשִׁים			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Männer,Leute		2021-07-02T23:24:21.738878400	38
c3dcbb55-d5e1-4bee-9521-f6d4edd6a01d	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 02	Lehrer	true	מוֹרֶה			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Lehrer		2021-07-04T16:45:40.009157100	238
836e2467-361e-4b8b-af05-6023fff61abb	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 03	Laden	true	חֲנוּת			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Laden		2021-07-03T17:54:26.572916100	159
2b45b763-0248-41be-9f0a-6efe2b4ba069	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 09	lesen, rufen, nennen	true	לִקְרוֹא			VERB	GENDER_NA	NUMERUS_NA	DRITTE_PERSON	PAAL	INFINITIVE		rufen,lesen,nennen	קרא	2021-07-05T04:58:22.642122	329
45389c42-f59f-44b6-85a2-66febc964ad1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 18	lustig	true	מַצְחִיק			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lustig		2021-07-04T19:09:48.013986500	260
4398dc96-69ad-4d70-b55d-16cb257ce8a0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 20	legen, setzen, stellen	true	לָשִֹים			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		setzen,legen,stellen	שֹים	2021-07-05T16:05:31.283492900	363
607caaf1-2d5c-40e0-905e-9746d69b1740	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 18	lang	true	אֲרֻכָּה			ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lang		2021-07-08T00:51:35.753345300	402
ab1aca72-a2e0-4a9b-b237-535cc30cfe88	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 15	lecker	true	טָעִים			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lecker		2021-07-04T01:44:55.938019500	170
dc4bb251-38a9-4540-932f-3a9543744f01	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 18	lachen	true	לִצְחוֹק			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		lachen	צחק	2021-07-05T04:20:30.075895400	312
5bc6d0a1-3bb6-4100-b71c-84ca5a44c697	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 02	Lehrerin	true	מוֹרָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA				2021-07-04T16:46:37.085986600	239
30d4ef65-a737-494b-af30-d0bc89ef3434	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 18	lang	false		ארוך	אָרֹךְ	ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lang		2021-07-08T00:49:00.061558	61
b59b24b5-97fa-4bbf-ac5b-b7fab207ef05	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 03	lernen	true	לִלְמוֹד			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		lernen	למד	2021-07-08T00:13:15.674773900	224
afb20f66-54b0-4ee4-847a-2ab38d676b6f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 18	lang	true	אֲרֻכִּים			ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lang		2021-07-08T00:52:08.681755500	403
