UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
396c4f63-e8b6-4e66-bdd8-e3e3c00e6ee5	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 09	müssen, brauchen	true	צְרִיכָה			ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	Obwohl es ein Adjektiv ist, wird es wie ein Verb in der Gegenwart verwendet.	brauchen,müssen		2021-07-05T04:28:09.005599300	315
25cdca62-1a28-44ab-ab18-eb0f03a3c28e	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 09	machen, tun	true	לַעֲשׂוֹת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		machen,tun	עשֹה	2021-07-04T20:32:59.383582100	302
9cc4400c-80d1-4955-9f3e-2c183a134853	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 09	müssen, brauchen	true	צְרִיכוֹת			ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	Obwohl es ein Adjektiv ist, wird es wie ein Verb in der Gegenwart verwendet.	brauchen,müssen		2021-07-05T04:29:53.544228700	317
cc53b0e9-a38a-4416-b353-f319c2f91df2	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 02	Mütter	true	אִמָּהוֹת			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Mutter		2021-07-02T23:28:36.838693	45
64b04051-a6c5-4468-ba46-05b40cfb6d22	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 05	mit	true	עִם			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		mit		2021-07-04T20:22:09.002079500	296
bc716bd7-91f6-436d-8fc0-fb8032622f62	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 06	Mittag	false		צוהריים	צָהֳרַיִם	SUBSTANTIV	MALE	DUAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Mittag		2021-07-05T04:18:43.160329400	311
7f39478b-15c8-4540-9859-f8176287727f	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 04	Mutter, Mama	false		אימא	אִמָּא	SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Mutter,Mama		2021-07-02T23:31:16.909214900	47
a3d31637-3654-4a7a-82df-8f95f26d7e35	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 18	Moment, Augenblick	true	רֶגַע			AUSRUF,SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Moment,Augenblick		2021-07-05T05:20:31.330967	341
3aaf3de4-0832-4ace-8284-be222c156c09	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 10	Monat	false		חודש	חֹדֶשׁ	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Monat		2021-07-03T17:35:17.964288200	147
7cea7d4d-c693-471b-ac99-9d2a5ad9a227	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 08	Minute	true	דַקָּה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Minute		2021-07-03T16:56:16.502224400	120
69869064-e322-412b-b62f-b8fc5611564b	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 12	morgen	true	מָחָר			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		morgen		2021-07-04T16:53:24.412316	243
7a4e8e34-ddd4-4f9b-8aa7-234670dd9264	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 14	möglich	true	אֶפְשָׁר			ADJEKTIV	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		möglich		2021-07-03T14:51:22.295205100	55
82e68f3b-74f4-416e-a404-2e2727dab02f	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 19	Mädchen	true	בָּחוּרָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Mädchen		2021-07-03T15:19:43.404178	75
7641e6ed-5257-41ab-bcf4-25ff451462a2	IMPORTED	Grundwortschatz_A	Grundwortschatz - Lektion 09	müssen, brauchen	true	צָרִיךְ			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	Obwohl es ein Adjektiv ist, wird es wie ein Verb in der Gegenwart verwendet.	brauchen,müssen		2021-07-05T04:27:00.634542800	314
