UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
9acc6e1e-b617-459e-ab86-6eac3cab8e87	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 11 - Zahlen	neunzig	true	תִּשְׁעִים			ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		90,Neunzig		2021-08-10T11:23:33.635904500	399
1b0d1a69-3816-46fa-8743-a60931335b93	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 22 - Farben	nach draußen	true	הַחוּצָה			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		draußen,nach draußen		2021-08-09T11:55:40.893857300	443
5b3f17f3-834c-45ec-82fe-afbb39961219	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	noch	true	עוֹד			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		noch		2021-08-09T09:50:09.553942700	286
16bd57c3-dd3c-4aff-88b7-8ae30434bc17	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 06 - Reisen	nahe	true	קרוֹב			ADVERB,ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nahe		2021-08-09T10:24:15.363765100	330
bc9b5769-742c-4710-bfa0-9d6b46e73809	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 18 - Arbeit	nach	true	אַחַר			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nach		2021-08-09T11:36:04.161823200	28
377bdc53-6b22-48aa-b6c1-589f57d5006a	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	nichts	true	כְּלוּם			PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nichts		2021-08-09T10:28:19.770611100	196
15cb2bfc-4503-415b-b500-43bbf49fcd81	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 29 - Gelegenheit	nie	true	אַף פַּעַם לֹא			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nie		2021-08-10T11:11:25.513785400	52
8471ad63-8c7a-4ab9-a77d-a523dc2c1472	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	nicht, nein	true	לֹא			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nicht,nein		2021-08-09T09:50:03.230112100	197
472e8195-5345-493d-a2ad-7b6c08877b83	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 19 - Krankheit	neu	true	חָדָשׁ			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		neu		2021-08-09T11:42:18.287546800	146
dcac0aaa-383d-41e5-83bc-574c1121784c	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	nach	true	אַחֲרֵי			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nach		2021-08-09T10:27:57.855389200	30
