UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
1c733a66-f311-41e5-be8a-b8b691de1b40	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Oliven	true	זֵיתִים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Olive,Oliven		2024-12-13T04:00:20,211	453	0	false
ebf1a940-12f7-45f8-9488-16ffeefc715e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	öffentlich	false		ציבורי	צִבּוּרִי			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		öffentlich		2024-12-13T05:35:14,913	572	0	true
8af0824d-3e4b-4669-bc5d-85f87b2752c9	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Olive	true	זַיִת					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Olive		2024-12-13T04:00:20,211	452	0	false
243cd28c-cffd-4bcb-a52a-96633037c915	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	ordnen, aufräumen, erledigen, regeln	true	סדר					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		erledigen,ordnen,aufräumen,regeln	סדר	2024-12-13T05:41:18,901	545	0	true
80d89419-9dea-4999-9be8-29449add29e5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	Ordnung	true	סֵדֶר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ordnung		2024-12-13T04:00:20,211	274	0	false
f7907cef-6879-4fd4-a876-677acdb99fd7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 12 - Besuch	öffnen	true	פָּתַח					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		öffnen	פתח	2024-12-13T05:36:28,966	308	0	true
df4aba8d-c73a-47cc-85c6-f26f1b809a02	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	Orte, Plätze	true	מקומות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ort,Orte,Platz,Plätze		2024-12-13T04:00:20,211	263	0	false
1908020d-7c80-429c-92a8-9f869fbde470	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	oder	true	אוֹ					BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		oder		2024-12-13T04:00:20,211	15	0	false
c24b9ec6-f8ea-4408-b149-dcf333248a7f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	ohne	true	בְּלִי					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		ohne		2024-12-13T04:00:20,211	89	0	false
559cec2b-d508-4565-a1a5-9f9696f17727	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	Ort, Platz	true	מָקוֹם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ort,Platz		2024-12-13T04:00:20,211	262	0	false
