UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
1606f8a0-cb51-46c2-9aac-21e10b31421e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	Platz, Ort	true	מָקוֹם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ort,Platz		2024-12-13T04:00:20,211	528	0	false
9936ab00-9893-4ebd-a79a-143abac3e497	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	Postkarte	true	גְּלוּיָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Postkarte		2024-12-13T04:00:20,211	436	0	false
8fba61ba-dad5-4a81-957a-7ed5f71e88e9	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Pitabrot	true	פִּיתָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Pitabrot		2024-12-13T04:00:20,211	563	0	false
3a5f46d8-c810-43a2-9489-9f917cf13aed	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 33 - Erholung	Prozent	true	אָחוּז					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Prozent		2024-12-13T04:00:20,211	408	0	false
2f274334-8c89-4448-ab34-baebbc1c73d7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Park, Garten	true	גַּן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Garten,Park		2024-12-13T04:00:20,211	112	0	false
f1375130-78eb-448d-bd85-719169e6c265	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	Platz	false		כיכר	כִּכָּר			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Platz		2024-12-13T04:00:20,211	193	0	false
30d5c883-2039-4047-abf1-487b7135d6ab	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	prüfen, untersuchen	true	בדק					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		untersuchen,prüfen	בדק	2024-12-13T05:37:07,266	420	0	true
0d142cba-c0cb-44e7-a39b-f73cba0fd7aa	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Pferd	true	סוּס					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Pferd		2024-12-13T04:00:20,211	275	0	false
2702646d-05df-4482-b8c9-62b7d1bedd30	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	Polizist	true	שׁוֹטֵר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Polizist		2024-12-13T04:00:20,211	601	0	false
88be67fd-670f-45d1-a689-d5e7545c1faf	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 35 - Tourismus	Promenade	false		טיילת	טַיֶּלֶת			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Promenade		2024-12-13T04:00:20,211	470	0	false
