UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
ab1e3f22-822b-4103-9d41-22958f85e792	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 35 - Tourismus	Regierung	true	מֶמְשָׁלָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Regierung		2024-12-13T04:00:20,227	521	0	false
defc993d-e8b4-47ce-b68f-bdc55797ed77	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	Rechnung, Konto	true	חֶשְׁבּוֹן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Konto,Rechnung		2024-12-13T04:00:20,227	164	0	false
796c4194-88ec-499e-9856-6df46a65b4d3	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Regen	true	גֶּשֶׁם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Regen		2024-12-13T04:00:20,227	114	0	false
94acdd4a-70d7-4eec-a2c2-7f6c6079a102	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	Restaurant	true	מִסְעָדָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Restaurant		2024-12-13T04:00:20,227	254	0	false
416f951d-18ad-4c7b-8f86-67c6156b96be	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 10 - Pause	ruhen, sich ausruhen	true	לָנוּחַ					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		ruhen,sich ausruhen,ausruhen	נוח	2024-12-13T04:00:20,227	269	0	false
59ae60e5-2dbd-4ba5-8229-f0ede3fa152a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 33 - Erholung	reiten (Pferd), fahren (Fahrad)	true	רכב					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		fahren,reiten	רכב	2024-12-13T05:43:17,332	596	0	true
65043e6b-9f2f-4a6d-8cbf-e0541f874ef4	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	rot	true	אָדֹם					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		rot		2024-12-13T05:11:47,948	632	0	true
3853acce-8748-4d23-a5f0-96daee0d17db	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	rosa	true	וָרֹד					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		rosa		2024-12-13T05:12:39,770	638	0	true
07580ad4-3ae7-4c6e-83ea-b3d36e02b90f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	Reihe, Schlange	true	תּוֹר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Reihe,Schlange		2024-12-13T04:00:20,227	392	0	false
b67cdf3f-decc-4956-8585-c95ef0783eb4	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	ruhig, still	true	שָׁקֵט					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		still,ruhig		2024-12-13T04:00:20,227	611	0	false
3d93d309-934a-4c55-a82e-74c775974c17	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	Regel, Verordnung	true	תַּקָּנָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Regel,Verordnung		2024-12-13T04:00:20,227	627	0	false
6a76923f-cda2-4094-a5a8-cf8a733939cc	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 33 - Erholung	rundherum, ringsherum	true	סָבִיב					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		ringsherum,rundherum		2024-12-13T04:00:20,227	542	0	false
ec29325d-a772-43dd-aac6-896e92ab8660	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 24 - Richtung	Richtung	false		כיוון	כִּוּוּן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Richtung		2024-12-13T04:00:20,227	488	0	false
041d6b46-93b2-4e53-8941-6fe93d57ae55	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Regenschirm	true	מִטְרִיָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Regenschirm		2024-12-13T04:00:20,227	244	0	false
0a449956-b875-4754-bc8a-ed4fac03c6d1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	rufen, schreien	true	צעק					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		rufen,schreien	צעק	2024-12-13T05:42:17,710	578	0	true
ddeda46b-366f-46a7-a2ee-3f3e3e821d45	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Recht haben	true	לִצְדּוֹק					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		Recht,Recht haben	צדק	2024-12-13T04:00:20,227	310	0	false
d1e0f322-c23c-40ba-9e70-42030b7a3880	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 34 - Schiff	Riese, riesig	true	עֲנָק					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Riese,riesig		2024-12-13T04:00:20,227	560	0	false
abc9dab0-e824-4726-aed5-520be169b433	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 24 - Richtung	rechts	true	יָמִין					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		rechts		2024-12-13T05:20:50,916	641	0	true
