UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
72b70ad2-27dc-408a-acb5-4c0595602ee1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 16	sich anziehen	true	לְהִתְלַבֵּשׁ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		anziehen,sich anziehen	לבשׁ	2021-07-04T12:46:17.842611300	217
fa4039ef-c395-4666-bdf5-acfd3c2ff378	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 02	Schüler, Student	true	תַּלְמִיד			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Schüler,Student		2021-07-05T17:33:22.836883400	394
2affebf9-4beb-4fcb-b624-a6f70549b496	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 16	schauen	true	לְהִסְתַּכֵּל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		schauen	סכל,סכל ב,סכל ב...	2021-07-04T19:47:15.829466	277
2d88606f-1fef-4bb9-afa4-fa7ff12b9975	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 08	Stunde	true	שָׁעָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stunde		2021-07-05T17:13:27.845060100	383
67a99815-35c5-433a-ae6c-86de5f1d56d0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 18	sich aufregen	true	רגשׁ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		aufregen,sich aufregen		2021-07-05T05:25:28.099136200	343
ae011856-d12a-4100-909f-60cbc6a6e4ca	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 03	Städte	true	עָרִים			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stadt,Städte		2021-07-04T20:10:28.709350	292
f55a2920-4c36-4a96-bd88-f8077259254b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 04	sie, jene	true	הִיא			PERSONALPRONOM	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA		jene,sie		2021-07-03T17:04:56.172379300	128
84eaded8-31ea-453d-a350-88f673b726a7	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 07	Stuhl	true	כִּסֵּא			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stuhl		2021-07-08T00:28:37.778225200	206
fbec7b37-c346-44a5-8b3e-f8a1445fe491	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 04	sagen	true	לוֹמַר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		sagen	אמר	2021-07-04T12:41:38.387649	48
5639d064-8b73-4001-9cbc-4f7c089c0602	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 17	sein	true	לִהְיוֹת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		sein		2021-07-04T12:43:43.479446800	129
6691f3d5-f5bf-44a0-9978-bee27d9e46c4	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 16	sich ansammeln	true	לְהִצְטַבֵּר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		sich ansammeln,ansammeln	צבר	2021-07-05T04:14:35.432212	309
343ad8cf-4144-4a1b-b465-4cf85fe0c87a	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 11	Schabbat, Samstag, Sonnabend	true	שַׁבָּת			WOCHENTAG,SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Samstag,Sonnabend,Schabbat		2021-07-05T15:56:47.795874	359
bc814703-d657-4434-8338-db1b47bbeacd	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 12	Siebzig	true	שִׁבְעִים			ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		70,Siebzig		2021-07-05T15:55:10.835854300	358
c7a63f44-71fb-4147-a18c-7c715d221848	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Grundwortschatz - Lektion 15	Suppe	true	מָרָק			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Suppe		2021-07-04T19:17:18.289579100	265
