UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
8596070a-3cdb-4371-99d9-6d58104801d8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Tage	true	יָמִים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tag,Tage		2024-12-13T04:00:20,243	401	0	false
0db1c757-444e-4d7e-b6cf-1b13b8ba36d1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 34 - Schiff	trocknen, trocken legen	true	יבשׁ					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		trocknen,trocken legen	יבשׁ	2024-12-13T05:33:50,432	473	0	true
fe34a861-6cef-49b8-b00c-024f46ea5722	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	Tür	true	דֶּלֶת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tür		2024-12-13T04:00:20,243	118	0	false
c1986cc6-1fe9-4724-8794-c793db9a4c66	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Text	true	טֶקְסְט					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Text		2024-12-13T04:00:20,243	471	0	false
5e0cdc14-c5b9-4866-aeac-cbc70ef76e36	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Tomate	true	עַגְבָנִיָּה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tomate		2024-12-13T04:00:20,243	554	0	false
c50188f7-cb61-482f-8416-4c21ebdd2722	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	trinken	true	לִשְׁתּוֹת					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		trinken	שׁתה	2024-12-13T04:00:20,243	388	0	false
6ce96b87-1c04-4daa-a8a0-89b9f023c562	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	tausend	true	אֶלֶף					ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tausend,1000		2024-12-13T04:43:03,555	43	0	true
3d493f5f-48d6-43d6-800a-795ccaa73001	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Tag	true	יוֹם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tag		2024-12-13T04:00:20,243	172	0	false
87426343-9ded-4dd2-8f78-c4a40fc4db30	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Tüte	true	שַׂקִּית					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tüte		2024-12-13T04:00:20,243	612	0	false
ff73ecf7-dbbb-4d73-831d-41e9e33f0799	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 34 - Schiff	transportieren	true	יבל					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	ROOT		transportieren	יבל	2024-12-13T05:39:10,115	472	0	true
4d55505b-ba22-4156-9ae2-134ba05304d6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Tisch	false		שולחן	שֻׁלְחָן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tisch		2024-12-13T04:00:20,243	369	0	false
f5da1562-2919-4a53-ab95-431a406fb86c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Tee	true	תֵּה					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tee		2024-12-13T04:00:20,243	390	0	false
b744b99f-0b68-4c83-b546-4047ebbfcc0f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Tasche	true	תִּיק					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tasche		2024-12-13T04:00:20,243	620	0	false
8608a25c-3477-42f6-9251-c01d8db8bee3	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Tische	true	שֻׁלְחָנוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tisch,Tische		2024-12-13T04:00:20,243	370	0	false
