UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
10ff50c5-7c4f-488d-a137-8c391eddffb7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	unterer	true	תחתית					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		unterer,untere		2024-12-13T05:10:50,215	618	0	true
14840db8-9085-4566-88db-f2015d06d232	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Unterricht, Lehrveranstaltung	false		שיעור	שִׁעוּר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Unterricht,Lehrveranstaltung		2024-12-13T04:00:20,243	385	0	false
727b4a3a-acb1-4c81-9abf-82ed7e9c5c80	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 24 - Richtung	un-, nicht-	true	אִי					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nicht...,un...,un,nicht		2024-12-13T04:00:20,243	410	0	false
5f719710-96e4-4d3f-9bb3-f7858ce999e5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	unterer	true	תַּחְתִּי					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		unterer,untere		2024-12-13T05:10:43,017	617	0	true
c525b126-f6f1-4312-8b9e-ef18567990ab	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Uhr	true	שָׁעוֹן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Uhr		2024-12-13T04:00:20,243	384	0	false
ae2f40f9-d012-4582-8c30-bece55b1680b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 35 - Tourismus	um zu, damit	true	כְּדֵי ל					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	כְּדֵי ל־	um zu,damit,um,zu		2024-12-13T04:00:20,243	487	0	false
12bda00f-ff72-45d6-ba6f-f8e839511ff6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	überqueren	true	חצה					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		überqueren		2024-12-13T05:38:53,283	466	0	true
d416aff2-56e2-45eb-b567-8d5282fc56c7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	üblich	false		מקובל	מְקֻבָּל			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		üblich		2024-12-13T04:00:20,243	526	0	false
020e601e-63e2-4a80-820f-30fa83c9ceb7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Universität	true	אוּנִיבֶרְסִיטָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Universität		2024-12-13T04:00:20,243	18	0	false
54fd525c-a1c4-47e9-8906-6a49c3b1ad4a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	unter, anstelle	true	תַּחַת					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		anstelle,unter		2024-12-13T04:00:20,243	616	0	false
d98b43f8-ffbd-4e47-9a47-a0cf85886926	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	unterer	true	תחתִיִים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		unterer,untere		2024-12-13T05:10:59,164	619	0	true
02c15ab5-fbdb-421d-93c2-d3fe406a8755	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 31 - Qualität	Untersuchung, Forschung	true	מֶחְקָר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Untersuchung,Forschung		2024-12-13T04:00:20,243	509	0	false
958c1b85-14ce-4e51-bfe1-9f78086cb3f1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	und	true	וְ					BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...וְ	und		2024-12-13T04:00:20,243	138	0	false
