UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
eb7a011e-e40b-4173-ba5d-0decbddb6d0d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	Vater, Papa	true	אַבָּא					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Papa,Vater		2024-12-13T04:00:20,243	12	0	false
59758ba4-67cd-49cc-ab4d-8cc8eb81987d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 27 - Reise	verstehen	true	בין					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	ROOT		verstehen	בין	2024-12-13T05:37:17,629	424	0	true
9cc92baa-fc96-47b6-98c0-b061db19bf31	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 31 - Qualität	viel	true	רוב					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2024-12-13T05:29:08,556	591	0	true
5f3c76f9-2125-4d77-ad83-56bb5bdef5ba	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	von, aus (weg)	true	מ					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...מ	von,aus		2024-12-13T04:00:20,243	253	0	false
37a9cf70-adb5-4b96-ad5c-d835a133e3f8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	verboten	true	אָסוּר					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		verboten		2024-12-13T05:31:08,932	417	0	true
1b53f02c-a6ed-49a6-afde-9c46c5564355	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	von (Besitz)	true	שֶׁל					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		von		2024-12-13T04:00:20,243	365	0	false
28538aa2-a4d2-4542-91f2-4ebad7258ad7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	viel	true	הַרְבֶּה					ADJEKTIV	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2024-12-13T04:00:20,243	137	0	false
97a61076-527b-4bfb-9845-8e14894acb4f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	vor (Zeit/Richtung)	true	לִפְנֵי					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		vor		2024-12-13T04:00:20,243	227	0	false
2882aa4f-40d0-4b75-89a7-4fa54dc14085	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	vorher	true	לִפְנֵי־כֵן					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		vorher		2024-12-13T04:00:20,243	228	0	false
d0cb8407-87c7-4dd1-83f5-3e8922a3fb99	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	verdienen (Geld)	true	לְהַרְוִיחַ					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	INFINITIVE		verdienen	רוח	2024-12-13T04:00:20,243	345	0	false
c84cef4f-4325-4979-aa9b-16297f25c41c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 31 - Qualität	Verbesserung	false		שיפור	שִׁפּוּר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Verbesserung		2024-12-13T04:00:20,243	609	0	false
0fe570f4-c8d6-4119-a202-b83e6e36a80c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	vier	true	אַרְבַּע					ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		4,Vier		2024-12-13T04:43:31,556	57	0	true
01b7ed2c-6cae-47f3-86ee-07a3834aff2b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	von, aus (weg)	true	מִן					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		von,aus		2024-12-13T04:00:20,243	252	0	false
