UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
58706478-e2bd-45d1-a74f-95fa40ea09d9	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	wo	true	אֵיפֹה					ADVERB,FRAGEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		wo		2024-12-13T04:00:20,253	36	0	false
6d6217dc-d9af-4d87-b722-88e6064c37fa	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Wechselgeld	false		עודף	עֹדֶף			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Wechselgeld		2024-12-13T04:00:20,253	555	0	false
65046d1c-3355-486c-ab60-9038b3480273	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	wohin	true	לְאָן					ADVERB,FRAGEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		wohin		2024-12-13T04:00:20,253	214	0	false
05387eb2-559c-4af3-95a5-f7975efcc15e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	wenn, als	true	כְּשֶׁ־					BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		wenn,als		2024-12-13T04:00:20,253	210	0	false
f0e09d15-2ca0-4a7b-a441-feeb0ca044ae	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	weiter	true	הָלְאָה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		weiter		2024-12-13T04:00:20,253	446	0	false
c597bfe2-88c8-42c6-bd55-0788b38c18ca	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Wochen	true	שָׁבוּעוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Woche,Wochen		2024-12-13T04:00:20,253	356	0	false
3c68a9d9-52cd-49ce-8ed6-a828f5187cb1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	welcher, irgendeiner	true	אֵיזֶה					PERSONALPRONOM	MALE	SINGULAR	GRAMMATICALPERSON_UNKNOWN	BINJAN_NA	VERBTIMES_NA		irgendeiner,welcher		2024-12-13T04:00:20,253	32	0	false
8d51436e-5089-4354-aa9c-06f18d21bd46	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	was	true	מַה					PRONOM,FRAGEWORT	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		was		2024-12-13T04:00:20,253	235	0	false
58db93b0-f3c5-45d5-9bc7-7419427c72db	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	welche, irgendeine	true	אֵיזוֹ					PERSONALPRONOM	FEMALE	SINGULAR	GRAMMATICALPERSON_UNKNOWN	BINJAN_NA	VERBTIMES_NA		welche,irgendeine,irgendeiner,welcher		2024-12-13T04:00:20,253	33	0	false
e7e47311-81b3-48d4-91c7-c3aceb96ce6d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	Wasser	true	מַיִם					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nur im Plural	Wasser		2024-12-13T04:00:20,253	246	0	false
01bbabd2-4e6e-41bd-92e8-969503d8f033	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	Wand	true	קִיר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Wand		2024-12-13T04:00:20,253	322	0	false
152efaeb-4845-477d-967b-ab4c61e0a616	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	wenig, etwas	true	מְעָט					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		wenig,etwas		2024-12-13T04:00:20,253	256	0	false
6a2f892e-3b1c-4bb8-a21b-aa7c4cf8ddff	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	wenn, als, falls, ob	true	אִם					BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		falls,ob,wenn,als		2024-12-13T04:00:20,253	46	0	false
7250e6ef-d442-41e1-9b1a-e1c9c26092a5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	weil, denn, da	true	כִּי					BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		weil,da,denn		2024-12-13T04:00:20,253	191	0	false
53c7a07e-f24f-446f-b63a-731d70a31b0a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 34 - Schiff	Ware	true	סְחוֹרָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ware		2024-12-13T04:00:20,253	549	0	false
a054c60d-8e21-4e59-a043-8969a3b34f9e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 12 - Besuch	wie geht es	true	מַה נִשְׁמַע					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		wie geht,gehen,wie geht es,geht		2024-12-13T04:00:20,253	237	0	false
e9fc58f6-b151-4c59-a62a-c6ca4d468a8a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	weiß	true	לָבָן					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		weiß		2024-12-13T05:12:05,543	634	0	true
db1f0dff-5539-4a8a-9bfa-4cf563d756df	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	Wahlen	true	בְּחִירוֹת					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Wahlen		2024-12-13T04:00:20,253	422	0	false
f06c3e23-c336-4820-91d0-eefab5018c04	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 31 - Qualität	Welt, Ewigkeit	true	עוֹלָם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ewigkeit,Welt		2024-12-13T04:00:20,253	557	0	false
f2ab7862-aadf-4b7b-bd5c-fe89c62bf50a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	warm, heiß	true	חַם					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		warm,heiß		2024-12-13T05:22:15,287	462	0	true
1119b33d-0ae0-49b5-b197-536ba6a79e91	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Winter	false		חורף	חֹרֶף			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Winter		2024-12-13T04:00:20,253	467	0	false
12d18a03-3c82-4427-81d8-798e7992d5b2	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Woche	true	שָׁבוּעַ					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Woche		2024-12-13T04:00:20,253	355	0	false
62c84fc2-bde1-477d-bcb4-a5cffd0077e4	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 20 - Sprachen	Wort	true	מִלָּה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Wort		2024-12-13T04:00:20,253	514	0	false
71971ce6-2cb5-4eaa-8d2c-2054a5ca4bfc	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 24 - Richtung	warten	true	חכה					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		warten	חכה	2024-12-13T05:38:00,993	461	0	true
