UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
8bce4c63-1dfe-4dc0-92f9-292fb2630f2d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 27 - Reise	zu viel	true	יוֹתֵר מִדַּי					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		zu viel,zu,viel		2024-12-13T04:00:20,258	477	0	false
3d701c16-f54f-4576-88ea-55b0c81f4d8f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	Zentrum	true	מֶרְכָּז					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Zentrum		2024-12-13T04:00:20,258	264	0	false
060b40fb-2e85-4f93-b6db-68c85580c6ec	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	zehn	true	עֶשֶׂר					ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Zehn,10		2024-12-13T04:46:40,228	303	0	true
6af0831f-cc10-4b5c-8f1b-88bc8fdd0dc9	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	zurückkehren	true	לַחֲזוֹר					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		zurückkehren	חזר	2024-12-13T04:00:20,258	150	0	false
50f578cc-4534-4b5d-8719-5a254cf06cd1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Zeit	true	זְמַן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Zeit		2024-12-13T04:00:20,258	142	0	false
138e49d5-9d76-4318-84dd-560b8dda10f1	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Zucker	false		סוכר	סֻכָּר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Zucker		2024-12-13T04:00:20,258	279	0	false
c93d6ca9-7d6a-4966-81f8-f6a6d83d750f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	Zahl, Nummer, Anzahl	true	מִסְפָּר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Zahl,Nummer,Anzahl		2024-12-13T04:00:20,258	522	0	false
13df200e-a060-4630-a2de-09128be121ad	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 19 - Krankheit	zustimmen, einverstanden sein	true	לְהַסְכִּים					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	INFINITIVE		zustimmen,einverstanden sein,einverstanden	סכם	2024-12-13T04:00:20,258	278	0	false
d00aa4a2-fb04-4d36-bb77-4367bcdba2db	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 33 - Erholung	zusätzlich	true	נוֹסָף					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		zusätzlich		2024-12-13T05:33:09,362	536	0	true
ff3e45e4-3c93-47ef-90e9-d781fb5d511f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	Zeitung	false		עיתון	עִתּוֹן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Zeitung		2024-12-13T04:00:20,258	561	0	false
6818f142-fb35-4d0c-a08c-31a74952ab88	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	zwei	false		שתיים	שְׁתַּיִם			ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		2,Zwei		2024-12-13T04:48:34,374	389	0	true
43920072-ff3c-42ff-841a-1ebdfb35030c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	zu, nach	true	אֶל					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		zu,nach		2024-12-13T04:00:20,258	41	0	false
