UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
21e45299-aa73-4450-b977-4b3caa9b658d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	aufstehen	true	קם					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	kam			2024-12-21T09:34:01,632	1009	0	true
220de82d-9369-437c-a12a-16b46887ed34	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	ausgezeichnet	true	מצויינים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mₑzujanim			2024-12-10T06:48:38,592	164	0	true
55328219-d3af-4f3a-94f6-7e2ce3943aed	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	angenehm	true	נעים					ADJEKTIV,HOEFLICHKEITSFORMEL	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	na'im			2024-12-09T20:14:55,783	80	0	true
0c82854a-1f80-4029-8152-0443e182aac0	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	Arbeit	true	עבודה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	awoda			2024-12-21T09:42:26,614	1015	0	false
ff5f8ba3-a0e2-4a65-824a-de0618daca84	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	auch	true	גם					PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	gam			2024-12-09T19:59:34,034	36	0	false
e417ac50-47ca-4acc-a80d-731185b9fb55	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	aus, von	true	מ...					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mi...			2024-12-10T08:02:19,405	193	0	false
03b1e90b-29e0-4c34-8486-a6c237f54267	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	arbeiten	true	טובדת					VERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	o^wädät	arbeiten		2024-12-18T10:23:56,544	778	0	true
e01b9d1b-d4c0-4331-89e6-6abfaab26211	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Salatrezept	Aubergine	true	חָצִיל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chazil			2025-01-22T14:50:07,125	1184	0	false
f6f0e18c-392d-466a-9e35-fe625fa1f6da	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	Abend	true	ערב					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^äräw			2024-12-10T07:15:05,425	171	0	false
4d87017b-e405-4813-ae90-466b3c261d17	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	alles	true	הכּול					PRONOM	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	hakol			2024-12-18T16:23:18,340	932	0	false
7dab5b9e-59f4-450c-9313-9efe650f5b1b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	angenehm	true	נעימים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nₑimim			2024-12-15T12:39:48,979	809	0	true
3c54273f-3aa5-478b-b87b-373beedf7eb2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	Auf Wiedersehen!	true	להיתראות!					EXPRESSIONKIND_UNKNOWN	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	lₑhitra'ot!			2024-12-09T20:22:11,878	110	0	false
