UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
b4a50f1d-1410-4be9-ade6-1224074c6cb4	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	Büroangestellte, (Schalter) beamte	true	פּקידה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	pkida			2024-12-09T11:37:52,995	7	0	false
b5707fde-0c45-457f-9c21-759060a422ff	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	bekommen	true	לקבּל					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lₑkabäl			2025-01-07T13:39:55,568	1115	0	true
bce68313-e93c-4c7f-92e2-138a786112ac	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	Büroangestellter, (Schalter) beamter	true	פּקיד					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	pakid			2024-12-09T11:37:38,923	6	0	false
64469225-ac88-4057-86ca-cb0b18b10672	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	Briefmarke	true	בּול					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	bul			2024-12-14T13:36:18,508	711	0	false
4dd8301e-65fb-4d92-8304-5c090c5b6738	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	Ballett	true	בּלט					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	balät			2024-12-10T08:36:59,490	218	0	false
147b520e-2943-4ba5-9df4-607e41ca82c3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Bücher	true	ספרים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ssfarim			2024-12-09T21:13:48,567	136	0	false
6195defb-57ca-4eac-bd3b-f54ba7a80bf7	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Baby	true	תינוקת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ti^nokät			2024-12-18T15:35:32,049	924	0	true
6fe87658-f190-453d-8805-2085c92ad6db	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	Büro	true	משׂרד					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	missrad			2024-12-09T11:45:51,470	34	0	false
9533ef17-369c-446c-812b-a64a0f6c5268	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Substantiv	Büros	true	משׂרדים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	missradim			2024-12-15T10:29:01,491	798	0	false
c0fef369-7b92-493d-894c-b93242dac888	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Brüder	true	אחים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	achim			2024-12-18T13:57:40,796	908	0	false
