UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
bb53ff00-4a41-4b8f-8fa1-3ddb7cae6b42	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	der, die, das	true	ה...					ARTIKEL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ha...			2024-12-09T20:17:58,793	92	0	false
8564a8f3-edc5-438c-84c4-831dde0dd239	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	drei	true	שלושה					ZAHL	MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schloscha			2024-12-14T15:30:00,264	740	0	true
177fae13-9d8a-4791-be38-653802be7a99	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Wie geht es dir?	dir geht es	true	שלומך					PERSONALPRONOM	FEMALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	schlomäch			2025-01-07T15:44:05,066	1137	0	true
afbb6bca-52ef-4d11-8742-d8b88c61009f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	du	true	את					PERSONALPRONOM	FEMALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	at			2024-12-13T12:27:34,372	5	0	true
bd3ab2da-8bf0-414c-bc65-c0290183d9cc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Pronominalsuffixe	du hast nicht	true	אין לך					PRONOMINALSUFFIX	MALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	ejn lₑcha			2024-12-18T09:37:26,207	864	0	true
ed453a33-1186-40e0-8a22-a01d71467cdc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Binjan pa'al	du schriebst	true	כּתבתי					VERB	MALE	SINGULAR	ZWEITE_PERSON	PAAL	PAST	ka^tawti			2024-12-26T06:41:13,002	1051	0	true
6dd5f74a-588c-48d9-be3d-145a45084fe3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	du	true	אתה					PERSONALPRONOM	MALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	ata			2024-12-13T12:27:25,021	2	0	true
5ed8dab5-5289-4747-ab85-adec1eae932b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	dieser, diese, dieses	true	הזה					DEMONSTRATIVPRONOM	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	hasä			2024-12-14T06:02:40,175	690	0	true
81dbe850-ade8-4f6e-8f96-bd7efe866503	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	der zweite	true	השני					ZAHL	MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	haschäni			2024-12-18T14:55:53,124	916	0	false
4e9c4bb6-2f76-404f-bd50-5f74646bc622	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	dort	true	שם					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	scham			2024-12-09T20:01:15,542	41	0	false
8778838d-c841-4ae6-a4e0-947a124c3620	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen	du (bist)	true	אתה					PERSONALPRONOM	MALE	SINGULAR	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	ata			2024-12-14T19:13:25,343	764	0	true
