UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
c15c8806-ffb7-48ba-8bb7-477dcfe35d64	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Ehemann	true	בּעל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^ba'al			2024-12-18T14:53:01,941	914	0	false
2627bd5d-efb4-4d7c-91ab-615b9457153b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen im Akkusativ	euch	true	אתכם					PERSONALPRONOM	MALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	ätchäm			2025-01-07T15:23:45,439	1131	0	true
ca9aaf25-a9d7-4150-b3a1-280f6db01310	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen im Akkusativ	euch	true	אתכן					PERSONALPRONOM	FEMALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	ätchän			2025-01-07T15:27:48,361	1132	0	true
ba0bb9a7-5926-46a7-ac71-42f368fae2e2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	etwas	true	משהו					PRONOM	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^maschähu			2024-12-31T04:57:17,162	1100	0	false
cd280224-2303-4eac-bc87-9b6a06fd8b7e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Wie geht es dir?	euch geht es	true	שלומכן					VERB	FEMALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	PRESENT	schlomchän			2025-01-07T15:56:53,971	1142	0	true
f39f3188-51ff-4768-b472-5a49eaca4088	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	Es stimmt! Es ist richtig!	true	נבון!					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nachon!			2024-12-14T05:18:23,468	663	0	false
b853c67e-c663-4396-a466-874781bba1bb	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	einfach	true	פּשוטים					ADJEKTIV,ADVERB	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	pschutim			2025-01-07T13:44:40,976	1119	0	true
9c26e92a-eb68-4f99-8fc7-a114bd10fb3d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Binjan pa'al Untergruppe ajin/waw	er wohnte	true	גר					VERB	MALE	SINGULAR	DRITTE_PERSON	PAAL	PAST	gar Bei dieser Gruppe ist die 3. Person Singular der Vergangenheit identisch mit der 3. Person Singular der Gegenwart.Bei dieser Gruppe ist die 3. Person Singular der Vergangenheit identisch mit der 3. Person Singular der Gegenwart.			2025-06-01T03:45:37,394	1044	0	false
383b56fa-b66e-44fd-a005-5d2b7e135662	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Genitiv	euer / e / es (von euch)	true	שלכם					PRAEPOSITION,PRONOMINALSUFFIX	MALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	schälachäm			2024-12-18T17:16:11,500	939	0	true
af7a9f8d-aa40-43ee-a501-9a8df25eed9b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	einfach	true	פּשוט					ADJEKTIV,ADVERB	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	paschut			2025-01-07T13:42:32,467	1117	0	true
