UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
71873f1e-d4e5-4dbd-b860-b133111e9f9e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	Frühstück	true	ארוחת בּוקר					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	aruchat ^bokär			2024-12-21T09:41:26,751	1014	0	false
fd4e5448-8ac8-41de-82d6-d2296dee0f38	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	fliegen (mit dem Flugzeug)	true	טסות					VERB	FEMALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	tassot	fliegen		2024-12-18T10:25:45,842	787	0	true
2a679779-6d35-40e9-b8ef-02cc4e3d0ce5	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	fotografieren, fotokopieren	true	מצלם					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	mₑzaläm			2024-12-19T20:34:08,559	981	0	true
2575fdde-30f2-446d-b02f-c2f6e8f13e50	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Frage	true	שאלה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schₑ'äla			2024-12-18T13:09:38,623	891	0	false
2eef6f13-99e1-4339-9831-3ccd68099f73	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Frau, Ehefrau	true	אישה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ischa			2024-12-18T15:29:54,883	921	0	false
a6128738-c89b-4b0a-b3e0-f0eadf42665b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	finden	true	מוצא					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	mozä			2024-12-28T13:25:04,998	1069	0	true
0acdb4b0-d32d-4b4b-91c0-06f5a2b4e359	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Substantiv	Familien	true	משפּחות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mischpachot			2024-12-15T10:31:59,268	800	0	false
04bbc9c9-6218-4db9-9ade-6641203d0797	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	Familie	true	משפּחה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mischpacha			2024-12-09T20:21:52,217	108	0	false
78d41c29-d1c9-4448-9e8a-765b59dfc211	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	fertig	true	מוכנות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	muchanot			2024-12-19T20:51:07,936	987	0	true
2b2a277a-a08f-4dc9-a811-df40bede8afd	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	fertig	true	מוכן					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	muchan			2024-12-19T20:45:39,477	984	0	true
1d43efab-1c2c-4555-acee-ab8a8b25e573	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	fliegen (mit dem Flugzeug)	true	טסים					VERB	MALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	tassim	fliegen		2024-12-18T10:25:55,138	788	0	true
c03081f9-4a32-43cf-a3cf-923718c20a36	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	Familien	true	משפּחות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA				2024-12-09T20:22:00,899	109	0	false
115d9e2e-3060-4dd8-92e5-e50bf38d4df5	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	fragen	true	לשאול					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lisch'ol	fragen		2024-12-18T13:05:51,146	889	0	true
5e9c1f39-36f1-4383-aa61-8c851e72efcb	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Substantiv	Freunde	true	חברים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chawärim			2024-12-15T10:22:55,538	794	0	false
9eb068bd-8c09-45b1-8c9d-764dab11cdec	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Wochentage	Freitag	true	יום שישי					WOCHENTAG	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jom schischi			2024-12-21T17:25:08,235	1039	0	false
