UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
0335e3f5-2d6d-46ce-9e36-3a0f4ec9c19f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	gut	true	טובה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	towa			2024-12-15T10:45:41,726	804	0	true
1d430633-e6d7-4277-af76-851cc1b7a434	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Infinitiv	gehen	true	ללכת					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	PRESENT	la^lächät			2024-12-16T02:57:02,506	833	0	true
09b5ff63-1a71-4b3d-998c-34578e0abc00	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	Geschichte (Erzählung, Roman)	true	סיפּור					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ssipur			2024-12-26T13:54:15,041	1062	0	false
7660b832-0f54-4148-9067-fa8ab4ec9e22	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	geh!	true	לכי!					VERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	lₑchi!	gehen		2024-12-18T12:08:10,824	883	0	true
d0d58ec6-008a-4d59-a350-3f3f35cdd20d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	Guten Morgen!	true	בּוקר טוב					GLUECKWUNSCH	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^bokär tow!			2024-12-09T20:06:40,985	59	0	false
541bc497-300c-438d-ae81-b092af4d62c3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	geh!	true	לך!					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	läch!	gehen		2024-12-18T12:05:09,630	882	0	true
1319a355-5387-4155-ae6f-e51bafb996fd	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	groß	true	גדולות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	gdolot			2024-12-15T16:38:47,800	818	0	true
5e8d4bb0-f518-431d-9766-84b0beadaeec	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	gib!	true	תן!					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	tän!	geben		2024-12-18T11:46:20,027	873	0	true
b4ea6ab0-1b68-45e1-9bea-d7f41a58264b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	gut	true	טובות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	towot			2024-12-09T20:17:15,835	91	0	true
8a0ec8e1-1ec0-454a-9c16-5afff73fc191	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	gut	true	טובים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	towim			2024-12-09T20:17:05,133	90	0	true
1f8a25f1-86e0-4dfe-b44b-7a1c43a55ddb	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	gut	true	טובים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	towim			2024-12-15T10:54:47,513	805	0	true
03dff5e5-d573-46b4-b88b-f3bd692cfe78	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	groß	true	גדולות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	gdolot			2024-12-09T20:20:39,169	102	0	true
7b1b7382-87d3-4690-8e70-85763a7a3974	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	gib!	true	תני!					VERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	tni!	geben		2024-12-18T11:45:55,907	874	0	true
bdde9257-5c92-46c2-a67b-e1dea643bddc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	gestern	true	אתמול					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ätmol			2024-12-21T09:31:43,189	1007	0	false
560209a0-5d2b-485c-a9af-fddc68843472	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	gut	true	טוב					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tow			2024-12-15T10:45:02,733	803	0	true
a063ac67-873b-49f9-a476-433ad0b0c78e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	gut	true	טובות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	towot			2024-12-15T10:55:37,797	806	0	true
2ef199da-4997-40c1-913b-c76d06f0a46e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Infinitiv	gehen	true	הולך					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	holäch			2024-12-16T02:57:56,986	834	0	true
