UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
81ae0d51-4c90-4137-bdbb-58f9dd5c793a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	hier ist, da ist	true	הינה					PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^hinä			2024-12-09T20:18:16,985	93	0	false
a52456fa-8aeb-4da7-9525-2d5ce4b138ed	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	Hebräisch	true	עברית					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	iwrit			2024-12-09T20:03:19,991	49	0	false
bd38f016-0d14-4a8c-9276-7155df07fe41	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Substantiv	Hotel	true	מלון					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	malon			2024-12-15T10:35:03,258	801	0	false
f60c2c17-1390-4823-a0bc-f9db158e75aa	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	heiß, warm	true	חם					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	cham			2024-12-14T05:19:03,909	664	0	true
d9677aa0-bcae-46c6-8d7c-b098c3984edc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Häuser	true	בּתים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	batim			2024-12-10T04:50:22,164	157	0	false
67a1f7f4-5396-4cfd-b8ab-b285b9381507	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Hefte	true	מחבּרות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	machbarot			2024-12-09T21:12:26,594	132	0	false
a94bf894-cef8-47e3-bc06-2039381beee1	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	Hotels	true	מלונות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mₑlonot			2024-12-09T20:14:00,473	75	0	false
322e1143-fa4c-41d0-b99b-cede7b7b2e6f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	hören	true	שומע					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	scho^mä'a			2024-12-21T16:42:11,006	1026	0	true
f3c6bed1-54a1-4157-a65e-8a239907ee4a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	heiß, warm	true	חמה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chama			2024-12-14T05:19:50,912	665	0	true
570ed666-626d-469e-a1fb-6ebf109671ae	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	hundert	true	מאה					ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mä'a			2024-12-14T16:26:37,443	756	0	false
279c62cf-6883-4e80-a3d3-2ba59d843ad5	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Haus	true	בּית					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^ba'it			2024-12-10T04:48:32,953	156	0	false
59932493-76f5-47c4-be95-b4d95184837b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	haben	true	יש ל...					VERB,MODALVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	jäacj lₑ...	haben		2024-12-18T10:19:21,591	683	0	false
c90ab3b2-ce4b-4c0a-bcf1-b15b5c4ce5b7	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Substantiv	Hotels	true	מלונות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mₑlonot Achtung, weicht von der Regel ab!			2025-06-01T04:20:53,667	802	0	false
e6a13441-c858-47ff-aee4-28e9ce0f21fd	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	heiß, warm	true	חמות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chamot			2024-12-14T05:22:04,217	667	0	true
4ae492ea-21ee-4881-9fe0-d3eae4cbe4ab	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	heute	true	היום					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	hajom			2024-12-09T21:20:19,815	139	0	false
10b031b3-3da4-4b01-8389-f2ffd8f4ab74	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	hier (talmudisch)	true	כּאן					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	kan			2024-12-10T07:23:03,977	145	0	false
