UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
2b850ed8-08f1-4297-9c52-dfba59811550	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Pronominalsuffixe	ihr habt	true	יש לכם					PRONOMINALSUFFIX	MALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA	jäsch lachäm			2024-12-16T07:23:54,275	859	0	true
4fc973c5-fa88-4b9a-9526-a16b583fa971	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	interessant	true	מעניינים					ADJEKTIV,ADVERB	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mₑanjₑnim			2024-12-28T13:52:58,756	1073	0	true
ead150c1-1ce7-41ac-977c-631e52d589c4	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	in der Herzlstraße	true	בּרחוב הרצל					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	birchow ^härzl			2024-12-10T07:51:03,706	183	0	false
d5123a99-4c7f-44ac-bb0d-520ce0db5ebb	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Wie geht es dir?	ihm geht es	true	שלומו					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	PRESENT	schlomo			2025-01-07T15:46:40,217	1138	0	false
0546e02d-bf96-45a4-9c18-8015165c055c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Genitiv	ihr / e / es (von ihr)	true	שלה					PRAEPOSITION,PRONOMINALSUFFIX	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA	schälah			2024-12-18T17:08:45,327	937	0	true
67cb3a7d-34fd-4476-96cc-624b43b39267	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Genitiv	ihr / e / es	true	שלהם					PRAEPOSITION,PRONOMINALSUFFIX	MALE	PLURAL	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA	schälahäm			2024-12-18T17:22:10,686	941	0	true
806d6cf1-9515-4589-b0c5-037125379af4	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	"Sprachaufbau von ""heißen"""	ihr Name ist	true	שמם					VERB	MALE	PLURAL	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	schmam	heißen		2024-12-18T17:41:04,378	951	0	true
90855497-456b-4367-83b3-066ad9f78649	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	in dem Büro	true	בַּמשׂרד					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	bamissrad			2024-12-09T20:00:14,086	37	0	false
8380b06e-fdc4-4920-b728-b8d752ca3246	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	israelisch	true	ישׂראליים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	isrₑälijim			2025-01-07T13:31:18,738	1108	0	true
13dfab95-55d1-41fd-8b4b-2a0a1e6a53aa	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	ich	true	אני					PERSONALPRONOM	BOTH_FEMALE_MALE	SINGULAR	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	ani			2024-12-09T11:36:38,564	1	0	false
46855e0b-d8e2-468f-ba50-ac11ae3b3e69	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Wie geht es dir?	ihr geht es	true	שלומה					VERB	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	PRESENT	schlomah			2025-01-07T15:49:30,065	1139	0	false
80777300-71ce-426b-b059-b4c73ae547e1	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen	ich (bin)	true	אני					PERSONALPRONOM	BOTH_FEMALE_MALE	SINGULAR	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	ani			2024-12-14T19:11:45,010	763	0	false
22d7c459-07bb-4ca7-837b-24f78ec60d86	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	interessant	true	מעניין					ADJEKTIV,ADVERB	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mₑanjän			2024-12-28T13:49:43,211	1071	0	true
c0c33735-2627-4f41-a003-7223e648d34e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Wie geht es dir?	ihnen geht es	true	שלומם					VERB	MALE	PLURAL	DRITTE_PERSON	BINJAN_NA	PRESENT	schlomam			2025-01-07T16:02:16,391	1143	0	true
0eafe509-4a92-41b5-8f28-928d2d906140	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Binjan pa'al	ihr schriebt	true	כּתבתם					VERB	MALE	PLURAL	ZWEITE_PERSON	PAAL	PAST	kₑtawtäm			2024-12-26T06:52:38,304	1056	0	true
80bdab6d-db0d-48c2-a5bd-5c1def48046f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens Singular	ich arbeite	true	אני לומדת					REDEWENDUNG	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ani lo^mädät	arbeiten		2024-12-18T10:27:21,629	758	0	true
