UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
3506726b-efef-4e99-ac96-676f31925c69	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	jung, Zeitgenosse	true	צעיר					SUBSTANTIV,ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	za'ir			2024-12-31T04:48:37,850	1096	0	true
c6538f75-fbb5-4d83-b0f8-83beb85a051c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	Japanisch	true	יפּנית					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ja^panit			2024-12-09T20:05:25,282	58	0	false
76a32083-40ca-4ca2-b576-c7661812a19a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	ja	true	כּן					PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	kän			2024-12-09T11:39:18,950	13	0	false
fbada62e-b19a-4a3f-acf8-7e4fd5bde8d7	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Jahre	true	שנים					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schanim			2024-12-18T16:21:49,412	931	0	false
bdbeb421-bc12-4743-ac05-b1b493655679	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Jerusalem	true	ירושליים					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jₑruscha^lajim			2024-12-10T04:46:42,285	154	0	false
eab5c617-9298-47d0-93a9-1fa61c738c81	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	jetzt, zur Zeit	true	עכשיו					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	achschaw			2024-12-09T11:45:11,811	31	0	false
2a2610d7-d37b-47ab-bf63-3794315582da	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	jung, Zeitgenossinnen	true	צעירות					SUBSTANTIV,ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	zₑirot			2024-12-31T04:54:05,023	1099	0	true
d8fbad91-9278-4258-b704-8a18f679a384	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	jung, Zeitgenossen	true	צעירים					SUBSTANTIV,ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	zₑirim			2024-12-31T04:52:45,424	1098	0	true
27a9f635-dc9d-44f6-a488-e8e6f37b50df	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Jahr	true	שנה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schana			2024-12-18T16:21:13,188	930	0	false
6ba52a5e-d756-4420-9959-24dd30e4316f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	jung, Zeitgenossin	true	צעירה					SUBSTANTIV,ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	zₑira			2024-12-31T04:51:41,461	1097	0	true
