UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
92b84c84-d3b6-462e-8796-68db2490482d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	Käse	true	גבינה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	gwina			2025-01-11T12:05:39,934	1169	0	true
8d6f4aa4-c44a-43c5-8d35-11b23c931805	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	klein	true	קטן					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	katan			2024-12-09T20:14:13,022	76	0	true
fee9b7d0-5253-4105-bf52-e0de3aa8cfc6	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	kosten	true	לעלות					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	la'alot	kosten		2024-12-18T10:22:03,987	715	0	false
fc6af281-02dc-445a-b90f-be8479e7c6a1	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Klasse	true	כּיתה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	kita			2024-12-09T20:26:35,701	115	0	false
3017e5e2-f1ec-4211-8a2c-c6887725e4b2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	kurz	true	קצר					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	kazar			2024-12-26T13:58:13,268	1064	0	true
c900c378-3c55-49ea-ae65-74fbc30aef6d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	klein	true	קטנות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ktanot			2024-12-09T20:14:42,879	79	0	true
49448c5d-f758-4542-9783-d4d302321729	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	krank	true	חולים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	cholim			2024-12-10T04:29:24,493	152	0	true
83604583-706c-49b7-98e9-ed4df09ff36b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	kommen	true	לבוא					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lawo	kommen		2024-12-18T10:13:12,382	647	0	false
c0beb864-e356-4efe-96fe-8884081ec2f6	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Kind	true	ילד					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^jäläd			2024-12-18T13:18:23,916	897	0	true
215d7a0c-6d9c-49d8-afc8-e7f295c05886	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Modalverben	können	true	יכולה					MODALVERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	jₑcholah			2024-12-16T03:54:06,687	850	0	true
2e77433c-c015-4b4e-9201-238b207fbd72	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	kurz	true	קצרה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	kzara			2024-12-26T14:01:32,439	1065	0	true
