UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
067bd22a-f53f-4bb0-a73c-daee33f92cc5	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	lernen	true	לומד					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	lomäd	lernen		2024-12-18T10:23:10,410	773	0	true
612361f9-3e3d-4a98-9af8-0643d57ebdc3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Lehrerinnen	true	מורות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	morot			2024-12-09T20:31:02,501	126	0	false
6ebce45f-80fa-4be9-8e5c-f94be92c8f41	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	lernen, studieren	true	ללמוד					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lilmod	studieren,lernen		2024-12-18T10:13:50,495	651	0	false
35c8a541-7d3d-4e71-92ff-5f939f54e911	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Lehrer	true	מורים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	morim			2024-12-09T20:31:40,541	128	0	true
3d3c92ad-a1cd-436a-ab4c-830a689ec4d2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	lernen	true	לומדת					VERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	lo^mädät	lernen		2024-12-18T10:23:19,537	774	0	true
566e56b5-0a2d-4560-aec5-a352b75f1484	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	lernen	true	לומדים					VERB	MALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	lomdim	lernen		2024-12-18T10:23:27,927	775	0	true
62c3ee8f-81f2-41d9-9e24-9a12ee402fe2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	lesen	true	לקרוא					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	likro	lesen		2024-12-18T10:19:48,137	688	0	false
b7141291-9808-4aeb-af09-2b9526c44f94	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	lernen	true	לומדות					VERB	FEMALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	lomdot	lernen		2024-12-18T10:23:37,556	776	0	true
d4cb5db8-6d17-4d9d-847c-dc7198d14a31	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Lehrerin	true	מורה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mora			2024-12-09T20:30:55,006	125	0	false
f61ecf7b-b4f7-46b4-9d07-c22da9281631	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	Läden, Geschäfte	true	חנויות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chanujot			2024-12-14T06:10:30,061	696	0	false
