UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
8e89edda-09b7-405f-a6c7-44880f1a7fc9	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Infinitiv	machen	true	עושׂה					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	ossäh			2024-12-16T03:02:39,276	836	0	true
0f55c8ba-c512-4932-99df-095fb248112c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	man kann	true	אפשר					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	äfschar			2025-01-07T13:36:22,673	1113	0	false
13eced46-05ef-4cf9-b483-5b9c818ce9b0	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Modalverben	müssen, brauchen, sollen	true	צריכות					MODALVERB	FEMALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PAST	zrichot			2024-12-16T03:38:51,996	844	0	true
1b698f48-3272-4a2d-bbcb-4c2dce44d52b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	machen	true	עושׂה					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	ossäh	machen		2024-12-18T10:24:44,213	781	0	true
e56b350b-f1d2-4cdf-a125-7864ca6996b8	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Verb im Präsens	machen	true	עושׂות					VERB	FEMALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	ossot	machen		2024-12-18T10:25:17,376	784	0	true
8f2ba1c9-ae7e-46eb-9783-87bbddd67283	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	morgen	true	מחר					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	machar			2025-01-22T14:36:13,676	1179	0	false
c43a67f0-c833-45a0-9227-03ae348b321c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	"Sprachaufbau von ""heißen"""	mein Name ist	true	שמי					VERB	BOTH_FEMALE_MALE	SINGULAR	ERSTE_PERSON	BINJAN_UNKNOWN	PRESENT	schmi	heißen		2024-12-18T17:28:51,015	943	0	false
6785bca3-4db0-4a74-969f-226244d9e50b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Modalverben	müssen, brauchen, sollen	true	צריכים					MODALVERB	MALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	zrichim			2024-12-16T03:37:18,199	843	0	true
1139d320-be15-4412-9421-3d1e0e8c1594	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen im Akkusativ	mich	true	אותי					PERSONALPRONOM	BOTH_FEMALE_MALE	SINGULAR	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	oti			2025-01-07T13:56:14,369	1125	0	false
1f6c3aa5-9eda-4013-9bbc-00fa31183b24	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Genitiv	mein / e / es (von mir)	true	שלי					PRAEPOSITION,PRONOMINALSUFFIX	BOTH_FEMALE_MALE	SINGULAR	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	schäli			2024-12-18T17:01:18,148	933	0	false
