UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
ded3127a-02ff-4bda-b934-887e90f06c20	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	nimm!	true	קחי!					VERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	kchi!	nehmen		2024-12-18T12:12:32,194	886	0	true
737afaf1-b0ad-40dd-a367-ecf0e3564d21	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	niedlich, nett	true	נחמדה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nächmada			2024-12-18T16:08:54,235	927	0	true
b9e322ea-d6cc-4c2f-ae38-bd2bb2c9f81e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	nach	true	אחרי					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	acharej			2024-12-20T16:39:28,610	974	0	false
7cfb936a-15b1-480f-9d22-bf4ac22c9a25	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	neu	true	חדש					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chadasch			2024-12-10T07:48:08,216	179	0	true
d4016c3d-59ef-4e0d-b8c1-b194df99d94c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	null	true	אפס					ZAHL	MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^äfäss			2024-12-14T14:59:52,104	727	0	false
46bd4fee-0719-48e4-bf51-1985bbf6bbd3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	neun	true	תשע					ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^täscha			2024-12-14T15:22:22,457	736	0	true
cfbf306b-356b-4d58-9ca1-a25e910cc08d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	nehmt!	true	קחו!					VERB	BOTH_FEMALE_MALE	PLURAL	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	kchu!	nehmen		2024-12-18T12:15:00,721	887	0	false
70a971a7-bbf3-44fb-a629-0ae87761750a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	Nächte	true	לילות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	lejlot			2024-12-20T19:13:41,380	1001	0	false
1a872ead-3320-492f-979c-35f6a94adde0	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	neben, an	true	על יד					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	al-jad			2024-12-09T20:29:05,236	122	0	false
cf4e0f71-a997-4436-9789-162e94461957	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Name	true	שמות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schämot			2024-12-18T13:16:50,218	896	0	false
