UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
f6a41eb6-323c-4c98-a9e9-306bcdc6aad3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	(er) macht	true	עושׂה					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	ossäh	machen		2024-12-18T10:18:20,760	671	0	false
4ee10a57-d186-4f8d-9bc9-7a0a8c8f27a1	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	(er) sitzt	true	יושב					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	joschäw	sitzen		2024-12-18T10:16:21,156	658	0	false
c69d1503-5034-4efe-8fad-04758003fed4	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	(sie) schreibt	true	כּותבת					VERB	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	ko^täwät	schreiben		2024-12-18T10:09:07,767	130	0	false
e5305918-f4fd-4179-9eef-3e08f53aec00	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	(er) macht	true	עושׂה					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	ossäh	machen		2024-12-18T10:07:47,316	94	0	false
57331c5d-939b-4d6b-9bd3-a51fe4892f4b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	(sie) muss, braucht, soll	true	צריכה					VERB	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	zrichah	sollen,brauchen,müssen		2024-12-18T10:13:00,892	646	0	false
92e82fcc-a2af-413a-8bed-665624ab3f06	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	(er) studiert	true	לומד					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	lomäd	studieren		2024-12-18T10:14:04,635	652	0	false
adeddac6-7fd9-4872-ae01-fbb78adc673a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	(sie) fliegen	true	טסות					VERB	FEMALE	PLURAL	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	tassot	fliegen		2024-12-18T10:06:40,295	64	0	true
4680d7b9-07f8-4573-a91a-09c92721ccaf	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	(sie) kommt zurück	true	חוזרת					VERB	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	cho^särät	zurückkommen		2024-12-18T10:12:12,706	209	0	false
126beb4e-d9e8-4552-bac8-67ad000c51c1	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	(er) geht	true	הולך					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	holäch	gehen		2024-12-18T10:10:54,212	172	0	false
c6be9425-050f-410b-95b4-2b58ebb3fa47	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	(er) wohnt	true	גר					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	gar	wohnen		2024-12-18T10:06:53,897	70	0	false
