UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
ab4f0df5-163f-4998-83ce-a849f5f20f0b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	schön	true	יפה					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jafä			2024-12-09T20:20:56,233	103	0	true
157d8eff-ad7b-4798-898f-5e0a5befd576	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	schleht, böse	true	רעות					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ra'ot			2024-12-15T16:53:35,595	826	0	true
5fce4352-12a8-4dca-a0e8-042574f9ab67	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	schön	true	יפה					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jafä			2024-12-15T16:41:17,817	819	0	true
c5c37285-c1c1-4ea1-8535-9c2a35f50c71	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	sicher, klar	true	בּטח					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^bätach			2025-01-22T14:26:06,966	1175	0	false
f3e652fa-b1a2-43e8-983a-87eeb6bb5afc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	sprechen	true	לדבּר					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lₑdabär	sprechen		2024-12-18T10:18:48,523	680	0	false
6e69cfe4-581f-4236-92cb-e0cc7a3f3374	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	Schekel	true	שקלים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schkalim			2024-12-14T14:22:17,500	718	0	true
1250b347-f05e-4152-bf8b-6df8f52b4640	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Schwestern	true	אחיות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	achajot			2024-12-18T14:00:11,697	910	0	false
242fb0cf-5fe8-40dd-9537-83e042049e1e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	sieben	true	שיבעה					ZAHL	MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schiw'a			2024-12-14T15:36:18,414	744	0	true
9ee2dada-30e5-41e9-9387-4b7e750389ea	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	Studentin	true	סטודנטית					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	stu^däntit			2024-12-09T11:37:16,269	4	0	false
ad6ecf3c-c0b5-47ee-91b2-ae3d567d3dd3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Pronominalsuffixe	sie haben nicht	true	אין להן					PRONOMINALSUFFIX	FEMALE	PLURAL	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA	ejn lahän			2024-12-18T09:58:00,371	872	0	true
661374d1-e5e2-4072-9fa1-781bf596cc56	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen im Akkusativ	sie	true	אותם					PERSONALPRONOM	MALE	PLURAL	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA	otam			2025-01-07T15:30:35,408	1133	0	true
51d587e6-a47d-4720-b267-186fb1eb8fb8	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Infinitiv	sitzen	true	יושב					VERB	MALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	PRESENT	joschäw			2024-12-16T02:55:14,112	832	0	true
c0dc3990-2ba1-47c1-8b6c-0e63b901806e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Genitiv	sein / e / es	true	שלו					PRAEPOSITION,PRONOMINALSUFFIX	MALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA	schälo			2024-12-18T17:06:31,306	936	0	false
712ef0e5-dd4d-4b25-be0d-e1ee964ab755	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Infinitiv	sitzen	true	לשבת					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	la^schäwät			2024-12-16T02:52:35,628	831	0	true
5324f60e-1644-4098-a385-1d824ad3ce87	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	schlafen	true	ישן					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	jaschän			2024-12-21T16:50:36,524	1029	0	true
3e25dd56-1a41-427a-9175-851d54efea69	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	Sonne	true	שמש					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^schämäsch			2024-12-14T05:02:25,585	656	0	false
bf0adf1d-0694-4a0b-b268-26356f25964b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Schüler	true	תלמידים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	talmidim			2024-12-10T04:06:19,923	141	0	true
0eceeb2a-02ad-4028-bf2f-6df7729636e0	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	schade	true	חבל					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	chawal			2025-01-22T14:29:00,917	1177	0	false
9bdfeaef-d8d4-44fe-9985-ea2ec9d49e88	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	schicken, senden	true	שולח					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	scho^lä'ach			2024-12-31T05:04:07,027	1102	0	true
bd73856d-1f60-451d-b740-1a8d9034ee74	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 03 Wir fliegen	schön	true	יפה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jafa			2024-12-09T20:21:05,143	104	0	true
21aa5895-24a9-4e74-9584-3336a94e360f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	"Sprachaufbau von ""heißen"""	sein Name ist	true	שמו					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	schmo	heißen		2024-12-18T17:35:26,322	946	0	false
97b36039-56e7-444c-bf65-da1464c4aebe	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	sein	true	להיות					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lihiot			2025-01-22T14:37:37,053	1180	0	true
914dbb81-39e7-4f38-aa19-311b0ff622a6	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	Schekel	true	שקל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^schäkäl			2024-12-14T14:22:31,505	717	0	true
8f18a10e-7bbc-4001-9c1f-2fff32f85eff	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	sie war	true	היתה					REDEWENDUNG	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	hajta			2025-01-07T16:07:56,962	1145	0	false
7c43d39d-4026-4e08-a541-cb0680be4546	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Stühle	true	כּיסאות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	kiss'ot			2024-12-09T20:28:53,727	121	0	false
1d34cfce-04b3-4325-9e70-63098e33547b	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Adjektiv	schlecht, böse	true	רעה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ra'a			2024-12-15T16:51:10,884	824	0	true
c9b2ff4e-f955-471a-847b-f50aa7e8c4af	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Schüler	true	תלמיד					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	talmid			2024-12-10T04:05:23,953	140	0	true
1f78d8b3-a0aa-4cfc-892a-1797300d57a0	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	Schriftsteller	true	סופרים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ssofrim			2024-12-31T04:40:03,413	1093	0	true
ea226f7d-b998-478d-875f-a4ccaf512d05	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	schickte	true	שלח					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PAST	schalach			2024-12-31T05:05:44,239	1103	0	true
f0206e4a-a462-478f-a3ac-d434dd2655b6	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Imperativ	sitz!	true	שבי!					VERB	FEMALE	SINGULAR	ALL_PERSON	BINJAN_UNKNOWN	IMPERARTIVE	schwi!	setzen		2024-12-18T11:54:48,209	877	0	true
4837b520-8227-4434-bbe1-55dea8735fdf	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	siebzig	true	שבעים					ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schiw'im			2024-12-14T16:09:28,213	753	0	false
0393ee13-712c-4d71-8528-981a008486f4	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	See Genezareth	true	כּינרת					SUBSTANTIV,EIGENNAME	GENDER_UNKNOWN	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ki^närät			2024-12-18T14:47:36,234	913	0	false
b01e1b8e-ef6d-463c-8e3c-440cb4ac06e6	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	schlecht, böse	true	רע					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ra			2024-12-09T11:44:41,774	29	0	true
e240d92b-ba77-4784-815b-d689661c9dea	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	Seiten, Blätter	true	דפּים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	dapim			2024-12-19T20:42:56,752	983	0	false
