UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
705217cd-caf5-4f09-96fd-5b67d05cf785	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	Tag	true	יום					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jom			2024-12-14T04:59:37,460	654	0	false
bb6dab2f-7823-4bbb-838e-9e2564d8a315	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	Tagesordnung, Tagesablauf	true	סדר יום					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	s^sädär jom			2024-12-21T09:29:44,507	1006	0	false
ecefe58f-3dba-4af5-86be-80d186f314aa	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	Theater	true	תיאטרונים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tä'atronim			2024-12-10T08:23:13,537	211	0	true
8d167ea5-fce2-4ec4-8fe2-289d8ad0f71f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Tische	true	שולחנות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schulchanot			2024-12-09T20:30:38,731	124	0	false
8163ffe3-3cfe-4895-a5e0-893bb9d9d4b8	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	toll, irre	true	נהדרות					ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nähₑdarot			2025-01-07T16:15:31,729	1149	0	true
0bcd5334-ff97-43c3-9ca4-5dfcf296cc1a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	Technikerin	true	טכנאית					SUBSTANTIV,BERUF	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tächna'it			2024-12-09T11:40:14,871	18	0	false
83cda1df-c99c-4315-b540-d64cad4fcadc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Tisch	true	שולחן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schulchan			2024-12-09T20:30:29,178	123	0	false
99fe20ba-f964-488c-b21b-1e7187228fd3	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	toll, irre	true	נהדרים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nähₑdarim			2025-01-07T16:14:33,584	1148	0	true
5594b748-5856-494f-b1e9-b119a4c6cb5c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	trinken	true	לשתות					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lischtot			2025-01-07T16:22:04,157	1152	0	true
c7932e13-731f-41ca-b66f-ab470f1595d9	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	trinken	true	שותה					VERB	MALE	SINGULAR	DRITTE_PERSON	BINJAN_UNKNOWN	PRESENT	schotäh			2025-01-07T16:21:57,879	1153	0	true
cbfaa463-21d0-4173-8099-58b9342d1780	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 01 Wer bin ich	Techniker	true	טכנאי					SUBSTANTIV,BERUF	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tächnaj			2024-12-09T11:40:02,243	17	0	false
d45e1b3c-aa4f-47c1-a90c-7e77ff660fbb	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Töchter	true	בּנות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	banot			2024-12-18T14:59:10,265	920	0	false
6c9f9b49-7ede-44e7-839e-f47670c907bf	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	Theater	true	תיאטרון					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tä'atron			2024-12-10T08:22:02,867	210	0	true
f75db82e-1577-4a8e-9564-4c55f17d6512	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	toll, irre	true	נהדר					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nähₑdar			2025-01-07T16:11:23,051	1146	0	true
79ba0d51-dbf2-40e7-875c-2a47a620ba83	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 12 Das Essen auf der Party	toll, irre	true	נהדרת					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	nähₑ^därät			2025-01-07T16:12:57,174	1147	0	true
6cae9a60-aec8-419b-8871-72ad4ecf5b74	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	Tage	true	ימים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	jamim			2024-12-14T05:00:31,438	655	0	false
79a9266a-d236-4bf6-b260-611fa5186f5d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Tochter	true	בּת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	bat			2024-12-18T14:58:11,108	919	0	false
