UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
7f923104-a631-41f5-b598-0fe2c41cef3d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	und ein Viertel, Viertel nach	true	ורבע					UHRZEIT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	wa^räwa			2024-12-20T16:35:07,141	971	0	false
971252b0-8f96-4ed2-a71e-9717433dc66f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Wie geht es dir?	uns geht es	true	שלומנו					VERB	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	BINJAN_NA	PRESENT	schlo^mänu			2025-01-07T15:51:00,438	1140	0	false
855579c5-7bad-4792-ba82-f286cbd872b5	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	Übersetzungen	true	תירגומים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tirgumim			2025-01-07T13:33:42,994	1111	0	false
d19a97bf-b5c1-45cb-b4d4-2cce17a8b308	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	und ein Halb	true	וחצי					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	wa^chäzi			2024-12-20T17:42:33,435	997	0	false
9b2c347d-5ae7-486f-9fe0-abfae7a48d24	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	Übersetzung	true	תירגום					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	tirgum			2025-01-07T13:32:34,648	1110	0	false
f2e923e2-9b09-4620-9495-57c5d6de6ad2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	und Sie? / und du?	true	ואת?					REDEWENDUNG	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	wₑat?			2025-05-26T23:49:49,957	45	0	true
fdc88624-46f3-40f2-ab7a-8288ebaf3c3a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	um welche Stunde? (wann)	true	בּאיזו שעה?					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	bₑêjso scha'a?			2024-12-20T16:50:01,093	988	0	false
f145b557-8609-43c3-8f13-8404ea68e35a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	"Sprachaufbau von ""heißen"""	unser Name ist	true	שמנו					VERB	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	BINJAN_UNKNOWN	PRESENT	sch^mänu	heißen		2024-12-18T17:34:36,534	948	0	false
19980d74-acc7-4b57-8dd7-71ca2f1a8d73	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	Universitäten	true	אוניברסיטאות					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	uniwärssita'ot			2024-12-09T20:01:48,909	44	0	false
8b607360-d750-4a22-ba5c-4c6ba5ea5b4d	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	und auch	true	וגם					REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	wₑgam			2024-12-09T20:00:40,106	39	0	false
56403370-b13d-4e63-8dcf-1bc2e586a416	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	und	true	ו...					BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	wₑ...			2024-12-09T20:00:54,929	40	0	false
7b95189e-0f89-4a6f-a8b1-2a584482beb7	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	überhaupt nicht	true	בּכלל לא					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	bichlal lo			2024-12-21T16:54:43,159	1030	0	false
abdd471c-4c56-4857-acfc-29ad7344d012	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Unterricht	true	שיעור					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schi'ur			2024-12-09T20:25:22,901	113	0	true
0c1c2ef6-69b6-472b-8660-a46fa4120ca2	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Der Genitiv	unser / e / es (von uns)	true	שלנו					PRAEPOSITION,PRONOMINALSUFFIX	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	schä^lanu			2024-12-18T17:14:49,542	938	0	false
537fd40c-aa5b-47a9-98bb-a0620b93aee7	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 04 Unterricht in der Klasse	Unterricht	true	שיעורים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schi'urim			2024-12-09T20:25:33,157	114	0	true
6b33e425-e99e-4ce6-b244-69b779cb771f	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 02 Wo arbeiten Sie	Universität	true	אוניברסיטה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	uni^wärssita			2024-12-09T20:01:38,035	43	0	false
0df4565b-aa94-40c2-b214-005340f08c3c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Das Personalpronomen im Akkusativ	uns	true	אותנו					PERSONALPRONOM	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	o^tanu			2025-01-07T15:21:20,292	1130	0	false
