UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
6ef951d8-cb91-4788-b3fb-5d7fea3fe730	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Väter	true	אבות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	awot			2024-12-18T13:48:11,701	904	0	false
45594dac-53ab-47f8-a905-63aa60e98f92	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 09 Unsere Lehrerin	Viertel	true	רבעים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	rₑwa'im			2024-12-20T16:35:49,246	973	0	true
fc8c98e3-b37e-4566-b4e7-40191a97158e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	viel, sehr	true	רבּים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	rabim			2025-01-07T13:51:05,199	1123	0	true
b11823a7-c447-4dd3-936f-bf3182f66431	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	viel, sehr	true	רב					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	raw			2025-01-07T13:47:15,146	1121	0	true
6658eb24-c91b-450c-bc8a-f35fa2a70e38	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Die Zahlen bis hundert	vier	true	ארבּע					ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ârba			2024-12-14T15:13:55,912	731	0	true
0860c287-dbea-4962-9a9e-35090d9f980c	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	Verzeihung!	true	סליחה!					AUSRUF,HOEFLICHKEITSFORMEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	sslicha!			2024-12-14T14:24:26,288	719	0	false
51edca8f-df74-43af-887a-591fabdbbe00	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 11 Kennst du israelische Schriftsteller	viel, sehr	true	רבּה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	raba			2025-01-07T13:49:20,806	1122	0	true
c96fd6f3-db23-42be-8016-9a3a44bc3363	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	Vater	true	אבּא					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	âba			2024-12-18T13:47:17,651	903	0	false
7c935583-d49d-4e1a-a03e-5862771f008a	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	von	true	של					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	schäl			2024-12-10T08:06:33,678	197	0	false
77f4efab-701f-4b7a-b246-1b8438b0b69e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 08 Meine Familie	von mir, mein/e	true	שלי					PRONOM	BOTH_FEMALE_MALE	SINGULAR	PLEASE_CHOOSE	PLEASE_CHOOSE	PLEASE_CHOOSE	schäli			2024-12-18T12:25:55,867	888	0	false
bb3b477a-7ad6-4df4-a176-41c0e588da85	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 10 Ein Tagesablauf	vor	true	לפני					PRAEPOSITION,ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	lifnej			2024-12-21T12:12:25,056	1019	0	false
