UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
7edd44d5-3e77-4701-9f5e-3257242ffa68	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	Welten	true	עולמות					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	olamot			2024-12-14T06:13:02,443	698	0	false
5fc3a298-e7c7-462e-b1ef-3ddbb98bd163	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Binjan pa'al	wir schrieben	true	כּתבנו					VERB	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	PAAL	PAST	ka^tawnu			2024-12-26T06:48:26,695	1055	0	false
c34a314b-c771-4a87-8292-27bf338da1fc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Die Pronominalsuffixe	wir haben	true	יש לנו					PRONOMINALSUFFIX	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA	jäsch ^lanu			2024-12-16T07:21:59,267	858	0	false
90ab915a-be7c-4cf5-bd51-8675ce6a3ecc	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Fragewörter	Wo (kommt sie her)? Woher?	true	מאיין					FRAGEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mä'ajin (hi ba'a)?			2024-12-18T18:18:09,846	956	0	false
204cb304-e675-42d2-957e-7fd64808ec54	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	weil	true	כּי					FRAGEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	ki			2024-12-14T04:57:08,305	653	0	false
7d426139-70e2-46bc-923d-a42bb5cda8df	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 07 Was kostet das	wieviel?	true	כּמה					FRAGEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	^kama?			2024-12-14T14:15:22,297	714	0	false
021cf8fb-d2cc-4cd0-b586-cb4b9586b693	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	woher?	true	מאיין?					FRAGEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	mä'âjin?			2024-12-10T07:56:57,966	189	0	false
30395760-8328-4557-8fd0-e1cb5b375d59	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Sprachaufbau Binjan pa'al Untergruppe ajin/waw	wir wohnten	true	גרנו					VERB	BOTH_FEMALE_MALE	PLURAL	ERSTE_PERSON	PAAL	PAST	^garnu			2024-12-26T06:08:21,707	1046	0	false
a4add7a7-4526-4da2-97af-46dddca57f0e	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 06 Wir machen einen Ausflug	wollen	true	לרצות					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_UNKNOWN	INFINITIVE	lirzot	wollen		2024-12-18T10:13:30,122	649	0	false
32070b2a-38e1-4ecb-a2ac-0347ea8fdde4	ROSENGARTEN_LOOS_HEEREN	Rosengarten & Loos	Lektion 05 Zu einer großen und schönen Party	Wohnung	true	דירה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	dira			2024-12-10T07:25:19,649	177	0	false
