UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
4152652c-b3e0-4b9e-89f6-f11638883c65	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 36 - Abschluss	Abschluss	true	סִיּוּם			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Abschluss		2021-08-12T14:31:10.122621600	550
6086b2c9-5b76-4a43-9044-0106eec460e7	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 19 - Krankheit	aufstehen	true	לָקוּם			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		aufstehen	קום	2021-08-09T11:43:40.391177200	319
3277882e-9f12-4bb9-8aa7-d02385c91196	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 16 - Natur	Affe	true	קוֹף			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Affe		2021-08-09T11:27:05.003073600	320
2ed99723-6505-460f-9cdf-ba3324285463	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Abend	true	עֶרֶב			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Abend		2021-08-09T10:18:23.375962	301
bd6bd5e6-627a-4434-9b90-f6cb4919fe0e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	alt werden	true	לְהִזְדַּקֵּן			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		alt werden,alt	זקן	2021-08-09T11:20:12.603025	143
75d180dd-0a62-47e1-9c2d-9aca9b9b9165	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 36 - Abschluss	alt, alteingesessen	true	וָתִיק			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		alt,alteingesessen		2021-08-12T14:34:52.688502	450
76cae341-c2e2-48a6-8ffb-36dc099d37d1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	alle, alles, ganz	false		כול	כֹּל	SUBSTANTIV	BOTH_FEMALE_MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	alleinstehend: plene Schreibweise	alles,ganz,alle		2021-08-09T10:34:12.517536300	194
6a6fbb92-ae1b-4208-a4f4-8601d0c9076d	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 06 - Reisen	auf	true	עַל			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		auf		2021-08-09T10:22:34.114655700	294
8ed9aad6-c7b0-47eb-a2cc-1641318b55b6	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 20 - Sprachen	aufhören, unterbrechen	true	לְהַפְסִיק			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	INFINITIVE		unterbrechen,aufhören	פסק	2021-08-09T11:49:40.270722400	306
35c9b188-8fb1-4db5-8c6b-b161e405e664	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	antworten	true	לַעֲנוֹת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		antworten	ענה	2021-08-09T11:01:28.672554300	298
