UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
a0f1cfc7-bd80-41db-b2ba-c686da4a3518	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 16 - Natur	Berg	true	הַר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Berg		2021-08-10T11:03:05.695478100	448
5eaec087-eb74-45e0-a582-6ba1831fc595	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Bäckerei	true	מַאֲפִיָּה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Bäckerei		2021-08-10T10:21:51.068586200	503
7b89a17a-a79a-4e67-a721-7f778e5c1543	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 22 - Farben	bleiben, übrig bleiben, zurückbleiben	true	שׁאר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	ROOT		bleiben,übrig,zurückbleiben,übrig bleiben	שׁאר	2021-08-09T11:55:13.216233900	598
f9f6a4a3-305e-4b80-8dd5-76fa98e0b117	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 27 - Reise	bereiten, vorbereiten	true	כון			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	ROOT		bereiten,vorbereiten	כון	2021-08-10T10:34:27.963482300	489
b426c4ae-0f93-4d5d-b919-d74367eb4fae	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	benutzen	true	לְהִשְׁתַּמֵּשׁ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE	...שׁמשׁ ב	benutzen	שׁמשׁ,שׁמשׁ ב	2021-08-09T11:20:27.698170200	380
b138b0f6-19af-4971-8904-4226b1ba27fe	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 16 - Natur	Boden, Erde	true	אֲדָמָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Boden,Erde		2021-08-09T11:50:29.238795500	405
e7cbbdb8-940d-4089-a4a1-40b919a03b34	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	Bank (Geld)	true	בַּנְק			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Bank		2021-08-10T10:16:24.094123500	94
2a352514-57dc-4099-bdc6-bb94f2b2c00c	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 11 - Zahlen	bekommen, empfangen	true	לְקַבֵּל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	INFINITIVE		empfangen,bekommen	קבל	2021-08-09T11:01:40.286236400	318
697debb5-c3ff-494f-afc9-a821ae0dbd11	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Butter	true	חֶמְאָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Butter		2021-08-09T10:18:34.510186500	156
a2f8981a-3ada-4e46-9235-3e46a51a9b80	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 12 - Besuch	beenden	true	לִגְמוֹר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		beenden	גמר	2021-08-09T11:22:43.931800200	110
