UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
f8625970-f6b8-4fc0-aed3-01f9b6623d2e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Ei	true	בֵּיצָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ei		2021-08-09T10:20:38.906049200	80
516355fe-fdf6-42bb-9402-853bc3ac1550	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	Ende, Schluss	true	סוֹף			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Schluss,Ende		2021-08-09T11:51:20.543884100	546
f1c4ffe0-8021-4af3-b8c4-87703df6eef0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 14 - Restaurant	ein wenig, etwas	true	קְצָת			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		ein wenig,etwas		2021-08-09T11:17:41.177285700	328
f4db819c-fbdc-4e2f-a1b7-bbb3b8bd3240	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 35 - Tourismus	entwickeln	true	פתח			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		entwickeln	פתח	2021-08-12T14:25:29.573164800	570
b6c3650b-6d10-4285-89ac-ec7b6a075b04	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	es gibt nicht	true	אֵין			PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		geben,nicht,nicht geben		2021-08-09T10:26:59.299703600	35
17f0d8c0-856e-47ed-87ba-0fe5b33d5216	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Eier	true	בֵּיצִים			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Eier,Ei		2021-08-09T10:20:44.445025800	81
bd769c98-0dc6-475c-8726-8aeebfa4a9cd	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	etwas	true	מַשֶּׁהוּ			PRONOM	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		etwas		2021-08-09T10:27:05.590398200	266
0ab629bc-8643-4fd7-ae90-d25e24c88a79	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 12 - Besuch	einladen, bestellen	true	לְהַזְמִין			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	INFINITIVE		bestellen,einladen	זמן	2021-08-09T11:07:17.457705400	141
56475acd-045e-4062-a94d-89822194c0f1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 28 - Ausflug	ermüden	true	עיף			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		ermüden	עיף	2021-08-10T10:44:25.254287700	559
7ff1ff50-809a-43ea-a391-d5ddee93a259	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 03 - Familie	Eltern	true	הוֹרִים			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Eltern		2021-08-10T11:03:37.734778500	441
6a5718d9-cc25-4a16-a414-14f94245ff90	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 36 - Abschluss	Errichtung, Aufstellung	true	הֲקָמָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Aufstellung,Errichtung		2021-08-12T14:36:13.959649400	449
685b5093-84e5-40b9-af8e-3ee2ea80d2f2	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	endlich, schließlich	true	סוֹף סוֹף			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		endlich,schließlich		2021-08-09T11:51:28.074895200	547
5988b036-d789-491b-a8ca-d799d211c7f4	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 03 - Familie	er, jener	true	הוּא			PERSONALPRONOM	MALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA		jener,er		2021-08-09T10:04:18.894829100	126
