UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
9db2f33f-5d4a-4413-8172-d11cda6f45dd	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	fragen	true	לִשְׁאוֹל					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		fragen	שׁאל	2024-12-13T04:00:20,180	354	0	false
35b63c33-c3cf-4889-afec-998dd47620fd	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	Frauen	true	נָשִׁים					SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Frau,Frauen		2024-12-13T04:00:20,180	63	0	false
c2dec353-7b68-4b5c-b9e6-40cd40ddd83f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	Freizeit	true	פְּנַאי					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Freizeit		2024-12-13T04:00:20,180	564	0	false
cb3a8ac3-f455-4b70-ba93-f8482c0b009d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 10 - Pause	Feiertag, Fest	true	חַג					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fest,Feiertag		2024-12-13T04:00:20,180	145	0	false
9787c8ca-d2fd-468e-a2a3-dd7a093be54d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	fahren, reisen	true	לִנְסוֹעַ					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		fahren,reisen	נסע	2024-12-13T04:00:20,180	271	0	false
fbfa97d4-493e-46cc-8e89-bb12eec11847	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	Ferien, Urlaub	false		חופש	חֹפֶשׁ			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ferien,Urlaub		2024-12-13T04:00:20,180	161	0	false
3c56857b-2e0e-44b5-b093-0019d59fb64d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	fünfzig	false		חמישים	חֲמִשִׁים			ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		50,Fünfzig		2024-12-13T04:44:01,775	158	0	true
5ce13089-ca86-4591-a9e1-6f9286c2a31a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 27 - Reise	Fahrt, Reise	true	נְסִיעָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fahrt,Reise		2024-12-13T04:00:20,180	539	0	false
fe059487-6652-4812-a776-35bc68584ea3	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	Frühstück	false		ארוחת־בוקר	אֲרוּחַת־בֹּקֶר			SUBSTANTIV	GENDER_UNKNOWN	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Frühstück		2024-12-13T04:00:20,180	60	0	false
fff14af3-afa8-4c76-9745-1859a8611808	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	Fernsehen	true	טֶלֶוִיזְיָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fernsehen		2024-12-13T04:00:20,180	168	0	false
5b2ad504-5086-4cc0-a221-52e073912b2a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	froh sein	true	לִשְׂמוֹחַ					VERB	PLEASE_CHOOSE	PLEASE_CHOOSE	PLEASE_CHOOSE	PAAL	INFINITIVE		froh,froh sein	שׂמח	2024-12-13T04:00:20,180	377	0	false
c8541541-659b-40c3-a9e2-bba524897497	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	Fenster	true	חַלּוֹנוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fenster		2024-12-13T04:30:36,351	154	0	true
49c3b9ec-514b-4a37-aeea-672bc42ef4a0	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	Fußgänger	true	הוֹלֵךְ־רֶגֶל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fußgänger		2024-12-13T04:00:20,180	440	0	false
e4d2741d-158e-469f-b809-41f37d37c5d0	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	Fenster	true	חַלּוֹן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Fenster		2024-12-13T04:30:28,610	153	0	true
5b7f6733-dab7-41ad-858a-67e55f3db0f6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	finden	true	לִמְצוֹא					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		finden	מצא	2024-12-13T04:00:20,180	259	0	false
b33a4eee-577b-40ca-aef0-1f694f01477a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	fassen, greifen, erwischen	true	תפס					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		erwischen,greifen,fassen	תפס	2024-12-13T05:32:47,201	625	0	true
