UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
97062040-b5e1-4298-ac96-1fbd0e218d3d	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 20 - Sprachen	genug	true	מַסְפִּיק			ADVERB,AUSRUF	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		genug		2021-08-09T11:49:58.006144100	255
d5dbabe9-9d62-46a3-8d38-8bddbe4ddd51	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	gar nicht	true	לֹא ... בִּכְלָל			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gar nicht,gar,nicht		2021-08-10T10:22:41.460390800	495
fa1d61cb-8812-4bab-b44d-9e0880452a5e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	groß	true	גָּדוֹל			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		groß		2021-08-09T10:01:24.840889100	107
cf75ae8f-1bf2-43b5-bcd8-5f3c2b70017f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	genau	true	בְּדִיּוּק			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		genau		2021-08-09T10:27:11.065675	73
49588cf3-399d-4654-ac60-18e290b04a34	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 14 - Restaurant	Gemüse	true	יְרָקוֹת			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gemüse		2021-08-09T11:17:51.438184600	183
6194b7e7-8626-4863-816f-5cc4a706a638	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	gut	true	הֵיטֵב			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gut		2021-08-10T10:23:08.738677700	445
ba9c826f-26f1-46de-afa1-a2531de91873	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 10 - Pause	Garten	false		גינה	גִּנָה	SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Garten		2021-08-09T11:02:56.770121500	113
00e24cf0-e545-452a-a219-4265ce5acaec	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 12 - Besuch	Gästin	true	אוֹרַחַת			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gästin,Gast		2021-08-09T11:23:46.931121100	21
3b74c182-e41a-4b8a-b8aa-a640df4869cb	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 28 - Ausflug	grade, jetzt erst recht	false		דווקא	דַּוְקָא	ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		erst,jetzt,grade,recht,jetzt erst recht		2021-08-10T10:45:25.756301800	438
bc2a550a-d953-4e28-9c70-7afda668dbee	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 22 - Farben	grau	true	אָפֹר			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grau		2021-08-12T17:42:10.643523600	635
de49fa65-d6e6-49d3-80e9-ba9b9bc08fc7	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	gestern	true	אֶתְמוֹל			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gestern		2021-08-09T10:27:16.419618200	68
637db5c0-fbb9-4777-9f9a-1d1462e53f95	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Gläser, Becher, Tassen	true	כוסות			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gläser,Tassen,Tasse,Glas,Becher		2021-08-09T10:19:20.876213400	190
e65d5fa8-e3bf-49e0-aa8b-ef71ce4745c3	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 22 - Farben	gelb	true	צָהֹב			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gelb		2021-08-12T17:39:50.878917300	633
580952f4-8925-4e39-aa0c-c567c7320467	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	Geduld	true	סַבְלָנוּת			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Geduld		2021-08-10T10:22:50.473606400	543
fce83b13-432f-459b-837e-34762717f4bc	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 06 - Reisen	geben	true	לָתֵת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		geben	נתן	2021-08-09T10:23:39.538165800	273
ed61de07-b1d6-49cc-becc-cfb74eae1144	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 22 - Farben	grün	true	יָרוֹק			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grün		2021-08-09T11:54:49.164564500	480
8fe460e1-985c-40d4-ac24-2c25b39a21ed	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 29 - Gelegenheit	genießen	true	הנה			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	ROOT		genießen	הנה	2021-08-10T10:55:12.408679100	447
bfe32a09-b672-4e2b-9315-9e6c22f9c023	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	gut	true	טוֹב			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		gut		2021-08-09T09:48:28.280965600	167
6151b046-ea9b-422c-91a5-bde6f5da4670	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Gurke	true	מְלָפְפוֹן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gurke		2021-08-09T11:58:42.221937700	520
d20113f1-487f-4c87-805e-03ee4900c1c3	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 22 - Farben	grün	true	ירוּקּים			ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		grün		2021-08-09T11:54:55.335500600	482
152c77da-5f2e-4609-a27c-a2ba4931e4a3	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	Grab	true	קֶבֶר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Grab		2021-08-09T11:51:47.564604400	580
e77fec65-f4bd-4f6a-89bd-7ff1a5c775c9	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 33 - Erholung	Gebiet, Gegend	true	אֵזוֹר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gebiet,Gegend		2021-08-12T14:16:44.189710100	407
991b01b4-eb74-4789-af6c-739e659e7fa6	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 10 - Pause	Glück	true	מַזָּל			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Glück		2021-08-09T11:03:03.775313400	241
5bcbf5d5-2d14-48d8-a4da-443229c68450	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 29 - Gelegenheit	gefunden werden, sich befinden, sich herausstellen als	true	מצא			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	NIFAL	ROOT		sich befinden,sich herausstellen als,befinden,herausstellen,sich herausstellen,gefunden,gefunden werden	מצא	2021-08-10T10:54:43.306505400	524
5513c746-5dac-461c-9144-0e2a89f049b2	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 18 - Arbeit	Gesellschaft, Unternehmen	true	חֶבְרָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gesellschaft,Unternehmen		2021-08-10T10:37:29.740092700	455
c6bc1982-b24c-4f54-98ca-418f8ca2a525	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 29 - Gelegenheit	Gelegenheit	true	הִזְדַּמְנוּת			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gelegenheit		2021-08-10T10:54:14.220340900	442
d1bf01bb-b924-4e57-b838-1a19dfe5d9b1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 09 - Ort	Gespräch, Unterhaltung	true	שִֹיחָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Unterhaltung,Gespräch		2021-08-09T10:49:04.438954300	362
faa0bd5c-b091-485c-965e-ea2f51bce9dc	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	guten Appetit	true	בְּתֵאָבוֹן			AUSRUF	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Appetit,guten Appetit		2021-08-09T10:19:26.279567500	105
16e47ca2-9314-4f6f-bcbb-d849d1f12c78	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 10 - Pause	Gebäude, Bau	true	בִּנְיָן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gebäude,Bau		2021-08-09T10:54:03.432051100	93
964cad82-2587-4289-82af-cc586f61fe36	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Glas, Becher, Tasse	true	כּוֹס			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tasse,Glas,Becher		2021-08-09T10:19:15.314696	189
cca3345e-8cac-42ef-a520-eb98308f9fff	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	Geldautomat	true	כַּסְפּוֹמָט			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Geldautomat		2021-08-10T10:23:00.974523600	492
0120a921-79b3-4f90-b288-761a6f91865b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Gewicht	true	מִשְׁקָל			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Gewicht		2021-08-09T11:58:34.562808500	532
9dcbdb19-1840-47bb-8e0a-8b32d7f66063	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 30 - Impfung	geimpft werden	true	חסן			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	ROOT		geimpft werden,geimpft	חסן	2021-08-10T11:17:44.289417200	465
e57e019f-e77c-4981-99b9-290530da2df3	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 01 - Menschen	gehen (zu Fuß)	true	לָלֶכֶת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		zu Fuß,gehen,zu Fuß gehen	הלך	2021-08-09T10:01:14.187961200	132
