UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
ea82cdae-023d-490b-a51c-be4bc0fe2f65	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	im allgemeinen	true	בְּדֶרֶךְ כְּלָל					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		allgemeinen,im allgemeinen,allgemein	כְּלָל,בְּדֶרֶךְ	2024-12-13T04:00:20,196	421	0	false
0e6a1822-274f-472d-93ba-bf53d25f9198	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	in Ordnung, okay	true	בְּסֵדֶר					ADJEKTIV,REDEWENDUNG	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		in Ordnung,okay		2024-12-13T04:00:20,196	95	0	false
da94895b-324f-4e2a-a4db-96b152dc263e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	inzwischen	false		בינתיים	בֵּינְתַיִם			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		inzwischen		2024-12-13T04:00:20,196	425	0	false
33325e9b-42e7-4875-986d-c50e2e9e3dbc	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	immer	true	תָּמִיד					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		immer		2024-12-13T04:00:20,196	396	0	false
495cb0ae-0cf2-4e56-b0ae-6b260d123c16	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	Insel	true	אִי					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Insel		2024-12-13T04:00:20,196	411	0	false
bcba8c7b-9032-4169-9397-b8c3000169ba	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	ich	true	אֲנִי					PERSONALPRONOM	BOTH_FEMALE_MALE	SINGULAR	ERSTE_PERSON	BINJAN_NA	VERBTIMES_NA		ich		2024-12-13T04:00:20,196	51	0	false
3a682080-17ca-49aa-b15b-5d7909cc8284	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	ihr	true	אַתֶּן					PERSONALPRONOM	FEMALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA		ihr		2024-12-13T04:26:31,778	69	0	true
d96443fb-eaba-4d88-81d2-cbb1f1a52b4f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	in	true	בְּ					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...בְּ	in		2024-12-13T04:00:20,196	70	0	false
06c22844-a54f-4d8d-bfbe-60b2fc7f3a27	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	ihr	true	אַתֶּם					PERSONALPRONOM	MALE	PLURAL	ZWEITE_PERSON	BINJAN_NA	VERBTIMES_NA		ihr		2024-12-13T04:26:23,801	67	0	true
99f8ea76-1f7e-41fd-b481-fe1c62e1d282	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 30 - Impfung	Impfpass	false		תעודת־חיסון	תְּעוּדַת־חִסּוּן			SUBSTANTIV	GENDER_UNKNOWN	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Impfpass		2024-12-13T04:00:20,196	624	0	false
