UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
97ec1ae8-9644-427e-a7f8-6416ea6350bc	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	Kellner	true	מֶלְצָר					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kellner		2024-12-13T04:00:20,196	251	0	false
1ef27f9f-8a44-4b59-afdf-91ff50a85ea6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 08 - Modalverben	können, könnt	true	יְכוֹלִים					MODALVERB	MALE	PLURAL	GRAMMATICALPERSON_NA	PAAL	PRESENT		können,könnt	יכל	2024-12-13T04:39:39,374	177	0	true
9bf11ae5-c399-4e46-85b1-80dfd17c5849	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 27 - Reise	Korken, Stau	true	פְּקָק					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stau,Korken		2024-12-13T04:00:20,196	566	0	false
494757d4-08ee-4f22-b48d-3376cac3ac8b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Küste, Strand	true	חוֹף					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Küste,Strand		2024-12-13T04:00:20,196	456	0	false
bd40aba7-da5a-48db-ba3d-e1653a3a44eb	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 19 - Krankheit	Kranker	true	חוֹלֶה					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kranker		2024-12-13T04:00:20,196	148	0	false
cee989fa-cb7a-4bbd-9009-add21d2fbd25	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	Küche	true	מִטְבָּח					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Küche		2024-12-13T04:00:20,196	510	0	false
4adb130a-51ec-4bac-9ade-41d94ce2aeec	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	kochen	true	לְבַשֵּׁל					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	INFINITIVE		kochen	בשׁל	2024-12-13T04:00:20,196	102	0	false
d050cc07-2aa8-451c-9be4-8da128481753	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	kommen	true	לָבוֹא					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		kommen	בוא	2024-12-13T04:00:20,196	74	0	false
14e13e09-fd31-4717-bed5-4b9f6faa40ff	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 18 - Arbeit	König	true	מֶלֶךְ					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		König		2024-12-13T04:00:20,196	250	0	false
23f40954-f26b-4dd3-8bd0-88a4390e0468	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	Kreditkarte	true	כַּרְטִיס־אַשְׁרַאי					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Kreditkarte		2024-12-13T04:00:20,211	493	0	false
0b3667c6-26d7-4ba6-b0f3-1e4da3610fe6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	Krieg	true	מִלְחָמָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Krieg		2024-12-13T04:00:20,196	519	0	false
dee373f1-6529-4eed-b85b-376d27c6fd9c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 19 - Krankheit	krank	true	חוֹלֶה					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		krank		2024-12-13T04:00:20,211	149	0	false
4908f7c9-17a6-4e47-b080-18ba351c99cf	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	Keks	true	עוּגִיָּה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Keks		2024-12-13T04:00:20,211	556	0	false
