UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
462a95ab-dfc7-4661-a4c4-d7a15f47769c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	mehr	true	יוֹתֵר					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		mehr		2024-12-13T04:00:20,211	173	0	false
0391188e-b28f-464c-943b-524d416c11c4	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	manchmal	true	לִפְעָמִים					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		manchmal		2024-12-13T04:00:20,211	229	0	false
d6a02dce-e628-4136-a180-60d083657758	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 04 - Wohnen	mit	true	עִם					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		mit		2024-12-13T04:00:20,211	296	0	false
6905ad07-1fe0-451f-a391-72326d32bb38	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 32 - Regel	mobil	false		נייד	נַיָּד			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		mobil		2024-12-13T05:32:31,787	537	0	true
ee5fb3e5-8ab9-4c43-a8c1-d012edf60f3e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 03 - Familie	Mutter, Mama	false		אימא	אִמָּא			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Mutter,Mama		2024-12-13T04:00:20,211	47	0	false
0e9fc501-ffc2-4812-b8d9-391038d6b43a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 08 - Modalverben	müssen, brauchen	true	צְרִיכָה					MODALVERB	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	PRESENT		brauchen,müssen	צרך	2024-12-13T04:40:31,498	315	0	true
dc703158-2d34-42e3-b2e6-034efb76398d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	Mehrheit, meiste	false		רוב	רֹב			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		meiste,Mehrheit		2024-12-13T04:00:20,211	590	0	false
c8aad4f5-4791-45da-a66e-0962c3440390	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Meere	true	יַמִּים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Meer,Meere		2024-12-13T04:00:20,211	479	0	false
6e4c2112-ffe7-44a5-8ff6-0d9e844ed812	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 16 - Natur	Meer	true	יָם					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Meer		2024-12-13T04:00:20,211	478	0	false
37794982-126c-406e-abf8-4a8bb9a5367f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 08 - Modalverben	müssen, brauchen	true	צְרִיכִים					MODALVERB	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	PRESENT		brauchen,müssen	צרך	2024-12-13T04:40:42,651	316	0	true
