UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
371a440b-244a-4e43-b660-a86bcc224b5d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 18 - Arbeit	nach	true	אַחַר					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nach		2024-12-13T04:00:20,211	28	0	false
51e33a1d-8ef8-4d3d-9cae-52771592939d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	nichts	true	כְּלוּם					PARTIKEL	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nichts		2024-12-13T04:00:20,211	196	0	false
749f3767-38ae-4a62-a1ad-4da00397bca6	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	nie	true	אַף פַּעַם לֹא					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nie		2024-12-13T04:00:20,211	52	0	false
21866075-6ac1-4352-b8ea-dc15dacc3c64	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	Namen	true	שֵׁמוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Namen,Name		2024-12-13T04:00:20,211	374	0	false
c987b59a-0a22-4817-88f3-54437079409c	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	null	true	אֶפֶס					ZAHL	MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		0,Null		2024-12-13T04:00:20,211	54	0	false
9a9a19a2-0ca6-4eda-8a85-ada7f5ac795b	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	nach Hause	true	הַבַּיְתָה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Hause,nach Hause		2024-12-13T04:00:20,211	125	0	false
8916bd2d-9feb-477c-9415-d1a85d55cef8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Nacht	true	לַיְלָה					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Nacht		2024-12-13T04:00:20,211	222	0	false
2619c353-51a3-4b90-a4e0-afd43e7768f8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	nach	true	לְאַחַר					PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nach		2024-12-13T04:00:20,211	496	0	false
c27051a2-dc4b-4576-8665-12fa4ca37830	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	nach oben	true	לְמַעֲלָה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nach oben,nach,oben		2024-12-13T04:00:20,211	499	0	false
9eeb4e30-4ee8-4150-8317-675b375bff42	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	nach draußen	true	הַחוּצָה					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		draußen,nach draußen		2024-12-13T04:00:20,211	443	0	false
325f2f16-e061-4d8b-9f0d-9233977719a0	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	noch	true	עוֹד					ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		noch		2024-12-13T04:00:20,211	286	0	false
cd935060-6fb6-4f4f-aaec-5428c6b206fc	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 07 - Zeit	Nächte	true	לֵילוֹת					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Nacht,Nächte		2024-12-13T04:00:20,211	223	0	false
05c42b64-b9dc-463d-9e5a-0a8eb8a7dee5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 36 - Abschluss	national	false		לאומי	לְאֻמִּי			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		national		2024-12-13T05:35:02,613	497	0	true
f31f6bee-3d6e-4022-9025-e5d25fe1932a	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	Norden	true	צָפוֹן					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Norden		2024-12-13T04:00:20,211	579	0	false
a3606e4e-632b-42c8-bf89-ef4821258829	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 11 - Zahlen	neunzig	true	תִּשְׁעִים					ZAHL	BOTH_FEMALE_MALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		90,Neunzig		2024-12-13T04:48:53,369	399	0	true
74a4ab89-a111-40e3-a4f1-ed6c18558a40	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 06 - Reisen	nahe	true	קרוֹב					ADJEKTIV,ADVERB	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nahe		2024-12-13T04:35:28,166	330	0	true
