UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
61d4b54d-ccdc-446b-91a5-26b285e662e8	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Preis	true	מְחִיר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Preis		2021-08-09T12:00:03.748847400	508
f5633690-a9c0-43e3-bcc1-23130b5a8de8	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 16 - Natur	Park, Garten	true	גַּן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Garten,Park		2021-08-09T11:24:19.299118100	112
ac0ff573-9f6a-408e-b495-493b5694517b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 09 - Ort	Plätze, Orte	true	מקומות			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ort,Orte,Platz,Plätze		2021-08-09T11:54:14.954909700	529
2b7b7f50-0b16-48fb-8117-4af7fdec2ccb	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	Psalmen	false		תהילים	תְּהִלִּים	SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Psalmen		2021-08-09T11:52:55.556877400	613
ffb56f35-967f-464c-becf-ddc49edd646e	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 35 - Tourismus	Promenade	false		טיילת	טַיֶּלֶת	SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Promenade		2021-08-12T14:26:00.668378400	470
bee6b471-3f0f-4bbf-9413-ac0f119b0690	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 33 - Erholung	Pfad, Wanderweg	true	שְׁבִיל			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Wanderweg,Pfad		2021-08-12T14:16:53.689974200	599
b346061c-15cf-4756-acc0-ff2de7f80aec	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 33 - Erholung	Prozent	true	אָחוּז			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Prozent		2021-08-12T14:17:22.944637600	408
e3aff886-f985-4902-b9e7-fc41cba544f9	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 31 - Qualität	Periode, Epoche	true	תְּקוּפָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Epoche,Periode		2021-08-12T14:02:28.142929400	626
2a64838d-da5a-4140-b000-4ccf57c1908f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 10 - Pause	Pause	true	הַפְסָקָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Pause		2021-08-09T10:55:07.798423200	136
d2dbd9be-8388-47d1-8baa-f21cd566be9b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 32 - Regel	Polizist	true	שׁוֹטֵר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Polizist		2021-08-12T14:10:39.588340600	601
99637bcc-3b3b-46b1-b144-099410fbd272	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 29 - Gelegenheit	Postkarte	true	גְּלוּיָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Postkarte		2021-08-10T11:13:39.618690600	436
422adc28-8bc9-443c-be91-4798eb52fa29	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	plötzlich	true	פִּתְ אוֹם			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		plötzlich		2021-08-09T11:59:47.229249800	569
b4d65134-d78b-41e7-898b-99e0784a7226	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 33 - Erholung	Programm, Plan	false		תוכנית	תָּכְנִית	SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Programm,Plan		2021-08-12T14:17:01.854421700	622
025e07a8-5655-42be-8393-ceeebf6b06ab	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	Problem	true	בְּעָיָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Problem		2021-08-09T10:35:26.249551300	96
3222723a-2138-4281-a4f1-87eead65cc62	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Pitabrot	true	פִּיתָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Pitabrot		2021-08-09T11:59:41.258846200	563
b76192a8-6793-4645-88d0-bd14f9c80dc1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	passieren, geschehen	true	קרה			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		geschehen,passieren	קרה	2021-08-10T10:20:22.225562400	589
2713db17-3ab2-4f70-8a22-a7223a9d33b0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 16 - Natur	Pferd	true	סוּס			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Pferd		2021-08-09T11:24:48.112102300	275
ab5de675-d632-49aa-803b-bbb3fca6af66	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 09 - Ort	Platz, Ort	true	מָקוֹם			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Ort,Platz		2021-08-09T11:54:03.054945900	528
0bd7f0d9-7060-409a-8d3c-fafd4bfd58af	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 25 - Bank	prüfen, untersuchen	true	בדק			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		untersuchen,prüfen	בדק	2021-08-10T10:21:18.308794400	420
0d499b35-cab7-45a0-867f-b024ed17a1a4	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 13 - Freizeit	Platz	false		כיכר	כִּכָּר	SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Platz		2021-08-09T11:14:56.480378300	193
