UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
72b70ad2-27dc-408a-acb5-4c0595602ee1	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	sich anziehen	true	לְהִתְלַבֵּשׁ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE		anziehen,sich anziehen	לבשׁ	2021-08-09T11:21:16.642149600	217
fa4039ef-c395-4666-bdf5-acfd3c2ff378	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	Schüler, Student	true	תַּלְמִיד			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Schüler,Student		2021-08-09T09:57:27.902201900	394
2affebf9-4beb-4fcb-b624-a6f70549b496	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	schauen	true	לְהִסְתַּכֵּל			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	INFINITIVE	...סכל ב	schauen	סכל,סכל ב	2021-08-09T11:21:05.243961300	277
2d88606f-1fef-4bb9-afa4-fa7ff12b9975	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	Stunde	true	שָׁעָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stunde		2021-08-09T10:28:40.004256800	383
31efb915-4afd-4177-a9ad-cd4fd5338696	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 16 - Natur	Sommer	true	קָיִץ			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Sommer		2021-08-10T10:47:36.755183900	583
67a99815-35c5-433a-ae6c-86de5f1d56d0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 17 - Schlange stehen	sich aufregen	true	רגשׁ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HITPAEL	ROOT		aufregen,sich aufregen	רגשׁ	2021-08-09T11:33:07.500018	343
ae011856-d12a-4100-909f-60cbc6a6e4ca	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 09 - Ort	Städte	true	עָרִים			SUBSTANTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stadt,Städte		2021-08-09T11:09:27.241262100	292
f55a2920-4c36-4a96-bd88-f8077259254b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 03 - Familie	sie, jene	true	הִיא			PERSONALPRONOM	FEMALE	SINGULAR	DRITTE_PERSON	BINJAN_NA	VERBTIMES_NA		jene,sie		2021-08-09T10:05:59.679906400	128
6e033627-57a9-4273-a80f-a1845dbae182	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 28 - Ausflug	See, Teich	true	אֲגַם			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		See,Teich		2021-08-10T10:46:51.317268700	404
84eaded8-31ea-453d-a350-88f673b726a7	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 04 - Wohnen	Stuhl	true	כִּסֵּא			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Stuhl		2021-08-09T10:24:59.089562300	206
fbec7b37-c346-44a5-8b3e-f8a1445fe491	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	sagen	true	לוֹמַר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		sagen	אמר	2021-08-09T10:05:52.491263400	48
