UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
e6957c0d-0dcb-460c-b79b-81e4039bc0ae	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Tee	true	תֵּה			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tee		2021-08-09T10:21:15.580015800	390
9fdfba8d-fb38-4441-8853-5f4d5388be80	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 11 - Zahlen	tausend	true	אֶלֶף			ZAHL	FEMALE	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tausend,1000		2021-08-10T11:25:40.962436	43
ca8a56d7-ee14-460b-8ace-9cc3062b0c1d	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 34 - Schiff	Tor	true	שַׁעַר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tor		2021-08-12T14:22:00.119882900	608
0bee2f53-4a00-4ffc-ad3f-e4d5a5c6e5bc	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 35 - Tourismus	Tourismus	false		תיירות	תַּיָּרוּת	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tourismus		2021-08-12T14:25:13.861460600	621
50674f8a-b759-42ba-b30d-0e0a5be17de0	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Tagebuch	true	יוֹמָן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tagebuch		2021-08-09T12:00:48.770846300	476
3dc257f8-6e5b-4bf5-8657-6bb52d0cc276	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 23 - Einkauf	Tüte	true	שַׂקִּית			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tüte		2021-08-09T12:01:06.252288800	612
d686e803-be6a-4de4-ab5b-9526ea45702f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	Text	true	טֶקְסְט			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Text		2021-08-09T11:56:36.280750200	471
37859bc0-df65-4cc2-ab10-3f9f30d9fe9a	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	Tische	true	שֻׁלְחָנוֹת			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Tisch,Tische		2021-08-09T10:03:40.019959700	370
9a272a23-ef48-4046-8d8c-e5c78216b464	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	trinken	true	לִשְׁתּוֹת			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		trinken	שׁתה	2021-08-09T10:21:21.879646700	388
85ac888b-85e5-4e56-a967-451a08777bd4	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 11 - Zahlen	Telefon	true	טֶלֶפוֹן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Telefon		2021-08-09T11:04:58.262288200	169
