UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
dbb60d58-6173-4a89-9b27-0be2897620cf	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	unterer	true	תחתִיִים			ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		unterer,untere		2021-08-09T11:53:10.788057900	619
7a945f90-346f-4b24-8cdc-dc0171b35250	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	und	true	וְ			BINDEWORT	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...וְ	und		2021-08-09T10:20:07.403028300	138
9399d2c0-02f4-4565-96f8-5d441f45e34f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	Unterricht, Lehrveranstaltung	false		שיעור	שִׁעוּר	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Unterricht,Lehrveranstaltung		2021-08-09T10:03:45.805880500	385
f02f9354-cf50-49e5-8abd-473816c5fb29	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	Uhr	true	שָׁעוֹן			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Uhr		2021-08-09T10:29:06.480622400	384
a9206d1d-b505-40c9-b72c-8f908f7c8796	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	unterer	true	תחתית			ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		unterer,untere		2021-08-09T11:53:16.223882200	618
7ee27841-a7de-46c1-8c77-c5c765ca8205	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 02 - Lernen	Universität	true	אוּנִיבֶרְסִיטָה			SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Universität		2021-08-09T10:44:38.142468200	18
3d28d903-a719-4059-a8d3-1430148f3ef2	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	unter, anstelle	true	תַּחַת			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		anstelle,unter		2021-08-09T11:53:03.023921800	616
559f65cb-c247-453c-9d19-e770a824fb6b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 24 - Richtung	un-, nicht-	true	אִי			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		nicht...,un...,un,nicht		2021-08-10T10:14:45.078372300	410
5a0f3284-bed9-48c5-939e-afd8177af7cc	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 21 - Ordnung	unterer	true	תַּחְתִּי			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		unterer,untere		2021-08-09T11:53:21.473909200	617
e922ab4f-2455-4989-9b1a-16e725dcbd18	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 35 - Tourismus	um zu, damit	true	כְּדֵי ל			ADVERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	כְּדֵי ל־	um zu,damit,um,zu		2021-08-12T14:27:27.510604300	487
69824e7c-b507-43bb-851f-7490406023b4	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 32 - Regel	überqueren	true	חצה			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	ROOT		überqueren		2021-08-12T14:09:21.326513300	466
48c1829c-e694-4869-9c5f-269bb82f4126	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 29 - Gelegenheit	üblich	false		מקובל	מְקֻבָּל	ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		üblich		2021-08-10T11:14:06.248106500	526
cbac5c0b-c7b0-473d-adf5-085fc964144b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 31 - Qualität	Untersuchung, Forschung	true	מֶחְקָר			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Untersuchung,Forschung		2021-08-12T14:03:21.528783100	509
