UUID	Ursprung	Datenbank	chapter	German	einfach	Hebrew	Plene	Defektiv	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex
e401a0aa-d8f1-4746-b9ee-99e5bf406450	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 03 - Familie	Väter	true	אָבוֹת			SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Väter,Vater		2021-08-09T09:59:34.146898800	11
67a5fa8f-a3f3-4897-8903-a17e07f3ade5	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 17 - Schlange stehen	verdienen (Geld)	true	לְהַרְוִיחַ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	HIFIL	INFINITIVE		verdienen	רוח	2021-08-09T11:34:20.503014700	345
cc4ce350-5495-4681-aeed-a47de07f5ba7	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 31 - Qualität	viel	true	רוב			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2021-08-12T14:04:14.329506200	591
bef7491b-793b-443c-9fa7-3663720b1177	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 10 - Pause	vergessen	true	לִשְׁכּוֹחַ			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		vergessen	שׁכח	2021-08-09T10:59:45.951314400	364
b79e093f-90d1-4af5-860d-17b19c784125	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 31 - Qualität	verbessern	true	שׁפר			VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PIEL	ROOT		verbessern	שׁפר	2021-08-12T14:03:32.309194100	610
7f6770d7-33d3-4272-8066-f1c4c5a11a7b	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 03 - Familie	Vater, Papa	true	אַבָּא			SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Papa,Vater		2021-08-09T10:06:44.629867	12
05b2163f-9b46-4ef4-8317-d5b8b3134327	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 07 - Zeit	vor (Zeit/Richtung)	true	לִפְנֵי			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		vor		2021-08-09T11:27:29.942294500	227
ca4d0fd6-5a5f-4290-82ef-7e4329969cac	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 31 - Qualität	viel	true	רַבִּים			ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2021-08-12T14:04:27.600179	593
d3accbf5-b0be-4f18-87b2-f109984aadc6	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	viel	true	רַב			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2021-08-09T11:21:22.109136100	334
03ddfe8d-44e8-41a0-abc9-42c20f5b46ac	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	viel	true	רַבּוֹת			ADJEKTIV	FEMALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2021-08-09T11:21:27.055135200	337
f5e3bc73-43dc-4935-a180-171b05703475	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 06 - Reisen	von, aus (weg)	true	מ			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	...מ	von,aus		2021-08-09T10:36:13.937454200	253
af6a0e9e-2ede-41df-bdd8-bb80fc34f991	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 04 - Wohnen	von (Besitz)	true	שֶׁל			PRAEPOSITION	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		von		2021-08-09T10:13:42.144716900	365
a58cb7c7-c961-452e-80ce-2c1e27947809	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 31 - Qualität	viel	true	רַבָּה			ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2021-08-12T14:04:37.372526300	592
86d1e22d-595e-4a3d-b40e-a800a4895e48	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 15 - Kleidung	viel	true	רַבִּים			ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		viel		2021-08-09T11:21:32.089413700	336
58844e4e-709a-436a-82b0-a45a8b17c99f	GRUNDWORTSCHATZADAADAMA	Grundwortschatz	Cerebrummi - Lektion 05 - Mahlzeit	Vormittag, Morgen	false		בוקר	בֹּקֶר	SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Morgen,Vormittag		2021-08-09T10:20:14.517725300	99
