UUID	Ursprung	Datenbank	chapter	own language	einfach	Hebrew	Plene	Defektiv	Swedish	German	expression kinds	gender	numerus	grammatical person	binjan	verb time	zusätzliche Informationen	searchwords German	searchwords Hebrew	letzte Änderung	Sortierindex	Schwierigkeitsgrad	visible
538fb49c-4fcc-4142-ab51-180088cbfa31	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 24 - Richtung	links	true	שְׂמֹאל					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		links		2024-12-13T05:20:42,997	640	0	true
5795e70b-8672-4806-a52e-d9be2c496ee7	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	lachen	true	לִצְחוֹק					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		lachen	צחק	2024-12-13T04:00:20,211	312	0	false
c8f2521e-0d83-4930-918b-fe3c086db17f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	lang	false		ארוך	אָרֹךְ			ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lang		2024-12-13T04:00:20,211	61	0	false
b766e94a-f906-4791-b26f-78a1f2a1f1f9	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 23 - Einkauf	Lebensmittelgeschäft	true	מַכּוֹלֶת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Lebensmittelgeschäft		2024-12-13T04:00:20,211	512	0	false
4afee508-2678-4945-bdde-28a6d488f894	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	lernen	true	לִלְמוֹד					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		lernen	למד	2024-12-13T04:00:20,211	224	0	false
b12ea3fa-3886-40ea-a69a-9bb7c9a2b78f	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 25 - Bank	letzter	true	אַחֲרוֹן					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		letzter		2024-12-13T04:00:20,211	409	0	false
b44ea806-72ce-4e96-90da-37ea94998a76	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	leer	true	רֵיק					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		leer		2024-12-13T05:23:35,438	595	0	true
8f4353e7-f631-446b-9235-47e4b8d589ee	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 29 - Gelegenheit	leben	true	חיה					VERB	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	PAAL	PRESENT		leben	חי	2024-12-13T04:00:20,211	459	0	false
38d0436c-cc5b-482f-87ae-40e92d158735	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 05 - Mahlzeit	lieben, mögen	true	לֶאֱהוֹב					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		lieben,mögen	אהב	2024-12-13T04:00:20,211	14	0	false
0a06716b-ca2e-434e-b92a-b1bfaebf9eed	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	lila, violett	true	סָגֹל					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lila,violett		2024-12-13T05:12:47,871	639	0	true
44aab5e9-edc1-4b40-a71c-65550a8c2c19	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 19 - Krankheit	legen, setzen, stellen	true	לָשִֹים					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		setzen,legen,stellen	שֹים	2024-12-13T04:00:20,211	363	0	false
b93d38cf-b640-4576-b3fb-512949c0021e	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 14 - Restaurant	lecker	true	טָעִים					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lecker		2024-12-13T04:00:20,211	170	0	false
152b6cd5-f3a4-4517-915f-e9dab2ef001d	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Lehrerin	true	מוֹרָה					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Lehrer,Lehrerin		2024-12-13T04:00:20,211	239	0	false
db6910d7-8574-4aaf-93d7-ac9b91077f42	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 22 - Farben	leicht, einfach	true	קַל					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		leicht,einfach		2024-12-13T04:00:20,211	584	0	false
5b9b7215-21ff-412e-85bb-ec436eca33e5	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	lang	true	אֲרֻכִּים					ADJEKTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lang		2024-12-13T04:58:31,453	403	0	true
8b0a1e86-a7ac-44b2-808a-bf1e79a83535	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 27 - Reise	Lärm	true	רַעַשׁ					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Lärm		2024-12-13T04:00:20,211	597	0	false
4cb21a23-c8c8-4de2-8bfc-727592cf3d13	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 09 - Ort	Laden	true	חֲנוּת					SUBSTANTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Laden		2024-12-13T04:00:20,211	159	0	false
3091074f-b6c2-43a0-ada1-aadf0bcd9058	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 17 - Schlange stehen	lang	true	אֲרֻכָּה					ADJEKTIV	FEMALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lang		2024-12-13T04:58:10,368	402	0	true
f7356241-6e06-42a5-baca-bffc5ef21497	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 21 - Ordnung	Leben	true	חַיִּים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA	plur. tant	Leben		2024-12-13T04:00:20,211	460	0	false
5cc29361-b618-460d-ac6e-d87a339fae87	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 13 - Freizeit	lustig	true	מַצְחִיק					ADJEKTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		lustig		2024-12-13T04:51:54,622	260	0	true
3496f419-c9b5-44d2-9857-23bae73c1622	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	lesen, rufen, nennen	true	לִקְרוֹא					VERB	GENDER_NA	NUMERUS_NA	GRAMMATICALPERSON_NA	PAAL	INFINITIVE		rufen,lesen,nennen	קרא	2024-12-13T04:00:20,211	329	0	false
66ff96c6-5157-4dde-ac93-b978d9fdcffe	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 02 - Lernen	Lehrer	true	מוֹרֶה					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Lehrer		2024-12-13T04:23:19,063	238	0	true
19f79fb9-2318-4c29-a35a-3a6ccc3343f8	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 01 - Menschen	Leute, Männer	true	אֲנָשִׁים					SUBSTANTIV	MALE	PLURAL	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Männer,Leute		2024-12-13T04:00:20,211	38	0	false
4929e63c-4ea0-4eec-bc6d-66db9c68be08	GRUNDWORTSCHATZADAADAMA	Ivrit auf Universitäts Niveau	Cerebrummi - Lektion 26 - Zustand	Lage, Situation, Zustand	true	מַצָּב					SUBSTANTIV	MALE	SINGULAR	GRAMMATICALPERSON_NA	BINJAN_NA	VERBTIMES_NA		Lage,Zustand,Situation		2024-12-13T04:00:20,211	525	0	false
